ID;Jugador;TA;TR;SA;FDJ;FR;FC;PR;PCOM;FPM;FPT
abdessamad-ezzalzouli;Abde Ezzalzouli;2;0;0;3;30;18;1;0;1;900
abderrahman-rebbach;Abde Rebbach;1;0;0;2;6;5;0;0;0;500
abqar;Abdel Abqar;12;0;0;2;23;40;1;2;2;333
abdoulaye-keita;Abdoulaye Keita;0;0;0;0;0;6;0;0;0;000
abdul-mumin;Abdul Mumin;6;1;0;0;12;22;0;0;1;367
abdon;Abdon Prats;4;0;0;1;8;4;0;0;0;100
abel-bretones;Abel Bretones;2;0;0;1;18;15;0;0;0;750
abel-ruiz;Abel Ruiz;3;0;0;5;10;6;0;0;0;200
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;1;0;0;0;000
adam-aznou;Adam Aznou;1;0;0;0;3;1;0;0;0;100
adama-boiro;Adama Boiro;1;0;0;0;7;7;0;0;0;700
januzaj;Adnan Januzaj;3;0;0;0;11;2;0;0;0;067
embarba;Adri Embarba;4;0;0;11;15;18;0;0;2;450
adria-altimira;Adria Alti;3;0;0;2;17;21;0;1;1;700
pedrosa-1;Adria Pedrosa;6;0;0;1;13;23;0;0;0;383
adrian-2;Adrian San Miguel del Castillo;2;0;0;0;0;0;0;0;0;000
arnu;Adrian Arnu;0;0;0;0;1;0;0;0;0;000
adrian-nino;Adrian Nino;0;0;0;0;0;0;0;0;0;000
adrian-pica;Adrian Hernandez Hernandez;1;0;0;0;3;6;0;0;0;600
a-rodriguez-1;Adrian Rodriguez;0;0;0;0;0;0;0;0;0;000
malcom-adu-ares;Malcom Abdulai Ares Djalo;0;0;0;0;0;0;0;0;0;000
aihen;Aihen Munoz;4;0;0;0;7;9;0;1;0;225
aimar-1;Aimar Oroz;5;0;0;5;47;21;0;0;0;420
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0;0;0;0;0;0;0;000
aitor-fdez;Aitor Fernandez;0;0;0;0;0;0;0;0;0;000
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;000
aitor-gismera;Aitor Gismera;0;0;0;0;0;0;0;0;0;000
paredes-2;Aitor Paredes;2;1;1;0;4;17;0;1;0;850
aitor-r;Aitor Ruibal;3;0;0;2;8;4;0;0;0;133
akor-adams;Akor Adams;0;0;0;0;0;0;0;0;0;000
alassane-diatta;Alassane Diatta;0;0;0;0;0;0;0;0;0;000
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;3;0;0;0;14;16;0;0;0;533
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;000
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;000
alberto-mari;Alberto Mari;0;0;0;0;0;1;0;0;0;000
a-moleiro;Alberto Moleiro;4;0;0;1;25;22;0;0;0;550
alberto-risco;Alberto Risco;0;0;0;0;2;1;0;0;0;000
alex-balde;Alejandro Balde;1;0;0;0;33;11;0;0;2;1100
catena;Alejandro Catena;7;0;0;0;7;25;0;1;1;357
a-frances;Alejandro Frances;1;0;0;1;10;13;0;0;0;1300
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0;000
alejandro-jay;Alejandro Jay;0;0;0;0;0;0;0;0;0;000
alex-padilla;Alejandro Padilla;0;0;0;0;1;0;0;0;0;000
alejo-veliz;Alejo Veliz;2;0;0;5;25;16;0;0;4;800
aleksandar-andreev;Aleksandar Andreev;0;0;0;0;0;0;0;0;0;000
sedlar;Aleksandar Sedlar;1;1;0;0;4;7;0;0;0;700
alex-almansa;Alex Almansa;0;0;0;0;0;0;0;0;0;000
berenguer;Alex Berenguer;3;0;0;4;21;18;2;0;1;600
alex-kral;Alex Kral;1;0;0;0;20;25;0;0;1;2500
alex-marchal;Alex Marchal;0;0;0;0;0;0;0;0;0;000
alexander-sorloth;Alexander Sørloth;1;0;0;3;12;14;0;0;4;1400
alfonso-1;Alfon Gonzalez;0;1;0;2;15;10;0;0;0;000
a-espino;Alfonso Espino;2;0;0;0;9;9;0;0;0;450
a-pedraza;Alfonso Pedraza;0;0;0;0;0;0;0;0;0;000
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0;000
nyom;Allan Nyom;4;0;0;0;6;14;0;1;0;350
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0;000
amath;Amath Ndiaye;0;0;0;2;5;3;0;0;1;000
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0;000
barrenetxea;Ander Barrenetxea;4;0;0;1;8;22;0;1;2;550
guevara;Ander Guevara;1;0;0;0;15;24;0;0;0;2400
ander;Ander Herrera;2;0;0;0;3;6;0;0;0;300
gorosabel;Andoni Gorosabel;1;0;0;1;0;12;0;0;1;1200
andreas-christensen;Andreas Christensen;1;0;0;0;0;1;0;0;0;100
andrei;Andrei Ratiu;4;0;0;4;11;17;0;0;1;425
lunin;Andrii Lunin;0;0;0;0;1;0;0;0;0;000
andre-almeida-1;Domingos Andre Ribeiro Almeida;1;0;0;2;13;20;0;0;1;2000
andre-ferreira;Andre Filipe Magalhaes Ribeiro Ferreira;0;0;0;0;0;0;0;0;0;000
andres-cuenca;Andres Cuenca;0;0;0;0;0;0;0;0;0;000
andy-pelmard;Andy Pelmard;1;0;0;0;3;2;0;0;0;200
ansu-fati;Ansu Fati;1;0;0;1;2;1;0;0;0;100
antal-yaakobishvili;Antal Yaakobishvili;0;0;0;0;0;0;0;0;0;000
budimir;Ante Budimir;3;0;0;11;20;26;5;0;2;867
griezmann;Antoine Griezmann;2;0;0;9;22;10;0;0;1;500
antonio-blanco;Antonio Blanco;6;0;0;0;19;41;0;0;1;683
antonio-candela;Antonio Candela;0;0;0;0;2;1;0;0;0;000
antonio-espigares;Antonio Espigares;0;0;0;0;0;0;0;0;0;000
antonio-gomis;Antonio Gomis;0;0;0;0;0;0;0;0;0;000
a-raillo;Antonio Raillo;2;1;0;2;8;31;0;0;1;1550
antonio-rudiger;Antonio Rudiger;2;0;0;2;13;11;2;0;0;550
sivera;Antonio Sivera;4;0;0;0;4;3;0;3;0;075
sanchez;Antonio Sanchez;1;0;0;3;7;14;0;0;1;1400
antoniu-roca;Antoniu Roca;3;0;0;4;10;11;0;0;0;367
antony;Antony Matheus dos Santos;1;1;0;0;4;4;1;0;0;400
a-tuhami;Anuar Tuhami;5;0;0;6;29;20;1;0;1;400
arda-guler;Arda Guler;1;0;0;4;20;10;0;0;1;1000
aridane-1;Aridane Hernandez;0;0;0;0;4;1;0;0;0;000
arambarri-1;Aritz Arambarri;0;0;0;0;0;0;0;0;0;000
aritz;Aritz Elustondo;0;0;0;0;14;12;0;0;0;000
arkaitz-mariezkurrena;Arkaitz Mariezkurrena;0;0;0;0;0;0;0;0;0;000
