ID;Jugador;BLOQ;INTER;R;D;EE;EF;JUH;DE;DF;DAE;DAF
abdessamad-ezzalzouli;Abde Ezzalzouli;3;5;82;5;21;10;0;122;125;19;30
abderrahman-rebbach;Abde Rebbach;0;0;16;6;2;1;0;13;36;2;11
abqar;Abdel Abqar;13;34;65;106;19;10;0;86;81;34;31
abdoulaye-keita;Abdoulaye Keita;0;0;6;3;2;0;0;6;16;3;4
abdul-mumin;Abdul Mumin;28;23;93;121;25;12;0;85;65;32;26
abdon;Abdon Prats;1;1;11;3;1;0;0;21;32;12;19
abel-bretones;Abel Bretones;2;13;79;34;25;10;0;81;57;16;9
abel-ruiz;Abel Ruiz;2;4;19;7;1;3;0;26;52;7;18
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;0;0;0;2;0;0
adam-aznou;Adam Aznou;0;1;4;0;2;1;0;11;7;2;0
adama-boiro;Adama Boiro;3;8;32;21;5;8;0;37;28;13;3
januzaj;Adnan Januzaj;0;0;17;1;4;2;0;22;26;1;7
embarba;Adri Embarba;1;9;46;9;10;18;0;66;92;9;21
adria-altimira;Adria Alti;6;12;52;35;15;15;0;64;61;9;14
pedrosa-1;Adria Pedrosa;6;12;55;38;22;10;0;60;83;6;23
adrian-2;Adrian San Miguel del Castillo;0;0;50;5;0;0;0;1;2;1;1
arnu;Adrian Arnu;0;0;0;0;0;0;0;1;0;0;0
adrian-nino;Adrian Nino;0;0;0;0;0;0;0;0;1;0;1
adrian-pica;Adrian Hernandez Hernandez;6;8;12;21;7;2;0;30;22;17;11
a-rodriguez-1;Adrian Rodriguez;0;0;0;0;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djalo;0;0;1;0;0;0;0;0;4;0;0
aihen;Aihen Munoz;3;11;29;28;7;4;0;35;36;14;13
aimar-1;Aimar Oroz;2;16;111;5;13;10;0;112;118;12;19
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0;0;0;0;0;0;0;0;0
aitor-fdez;Aitor Fernandez;0;0;0;0;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0;0
aitor-gismera;Aitor Gismera;0;0;0;0;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;8;17;41;80;8;1;0;36;45;24;21
aitor-r;Aitor Ruibal;2;9;33;13;8;4;0;32;38;4;11
akor-adams;Akor Adams;0;0;0;1;0;0;0;1;1;1;1
alassane-diatta;Alassane Diatta;0;0;0;0;0;0;0;0;0;0;0
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1;7;59;18;13;5;0;59;41;24;10
