ID;Jugador;MJ;PJ;PJ;PC;PC;PT;PT;PS;PS;TA;TR;SA;G;PR;GPP;GE
abdessamad-ezzalzouli;Abde Ezzalzouli;1533;23;92.00;2;8.70;18;72.00;16;64.00;2;0;0;1;1;0;22
abderrahman-rebbach;Abde Rebbach;383;8;32.00;1;12.50;4;16.00;3;12.00;1;0;0;0;0;0;7
abqar;Abdel Abqar;1941;23;92.00;19;82.61;23;92.00;4;16.00;12;0;0;0;1;0;35
abdoulaye-keita;Abdoulaye Keita;94;3;12.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;0
abdul-mumin;Abdul Mumin;1985;23;92.00;22;95.65;23;92.00;1;4.00;6;1;0;2;0;0;21
abdon;Abdon Prats;222;16;66.67;0;0.00;1;4.17;1;4.17;4;0;0;2;0;0;5
abel-bretones;Abel Bretones;1401;24;96.00;9;37.50;13;52.00;4;16.00;2;0;0;2;0;0;25
abel-ruiz;Abel Ruiz;1109;17;68.00;1;5.88;14;56.00;13;52.00;3;0;0;4;0;0;15
aboubacar-bassinga;Aboubacar Bassinga;3;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adam-aznou;Adam Aznou;77;2;8.00;0;0.00;1;4.00;1;4.00;1;0;0;0;0;0;3
adama-boiro;Adama Boiro;689;11;44.00;2;18.18;9;36.00;7;28.00;1;0;0;0;0;0;6
januzaj;Adnan Januzaj;313;8;32.00;1;12.50;3;12.00;2;8.00;3;0;0;2;0;0;3
embarba;Adri Embarba;1185;23;92.00;1;4.35;13;52.00;12;48.00;4;0;0;1;0;0;13
adria-altimira;Adria Alti;1086;15;60.00;6;40.00;12;48.00;6;24.00;3;0;0;0;0;0;20
pedrosa-1;Adria Pedrosa;1347;18;75.00;8;44.44;16;66.67;8;33.33;6;0;0;1;0;0;16
adrian-2;Adrian San Miguel del Castillo;540;6;24.00;6;100.00;6;24.00;0;0.00;2;0;0;0;0;0;9
arnu;Adrian Arnu;2;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adrian-nino;Adrian Nino;11;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adrian-pica;Adrian Hernandez Hernandez;485;8;32.00;4;50.00;5;20.00;1;4.00;1;0;0;0;0;0;7
a-rodriguez-1;Adrian Rodriguez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djalo;18;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
aihen;Aihen Munoz;583;13;52.00;3;23.08;8;32.00;5;20.00;4;0;0;0;0;0;3
aimar-1;Aimar Oroz;1955;24;96.00;10;41.67;23;92.00;13;52.00;5;0;0;2;0;0;27
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-fdez;Aitor Fernandez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-gismera;Aitor Gismera;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;1225;15;60.00;12;80.00;14;56.00;2;8.00;2;1;1;3;0;0;14
aitor-r;Aitor Ruibal;661;18;72.00;1;5.56;7;28.00;6;24.00;3;0;0;0;0;0;10
akor-adams;Akor Adams;9;1;4.17;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alassane-diatta;Alassane Diatta;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1118;15;62.50;8;53.33;12;50.00;4;16.67;3;0;0;0;0;0;15
alberto-collado;Alberto Collado;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-flores;Alberto Flores;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-mari;Alberto Mari;6;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
a-moleiro;Alberto Moleiro;1863;24;96.00;12;50.00;22;88.00;10;40.00;4;0;0;4;0;0;35
alberto-risco;Alberto Risco;65;5;20.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-balde;Alejandro Balde;1794;23;92.00;13;56.52;21;84.00;8;32.00;1;0;0;0;0;0;16
catena;Alejandro Catena;2053;23;92.00;22;95.65;23;92.00;1;4.00;7;0;0;0;0;0;32
a-frances;Alejandro Frances;713;11;44.00;4;36.36;8;32.00;4;16.00;1;0;0;0;0;0;14
alejandro-iturbe;Alejandro Iturbe;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alejandro-jay;Alejandro Jay;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-padilla;Alejandro Padilla;320;5;20.00;3;60.00;3;12.00;0;0.00;0;0;0;0;0;1;6
alejo-veliz;Alejo Veliz;944;20;80.00;2;10.00;10;40.00;8;32.00;2;0;0;1;0;0;20
aleksandar-andreev;Aleksandar Andreev;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sedlar;Aleksandar Sedlar;425;7;28.00;4;57.14;5;20.00;1;4.00;1;1;0;0;0;0;7
alex-almansa;Alex Almansa;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
