ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
abdessamad-ezzalzouli;Abde Ezzalzouli;1;31;247;198;49;536;392;9;2;002;000;002;000;002;000;000
abderrahman-rebbach;Abde Rebbach;7;3;49;36;13;99;64;5;0;000;000;000;000;000;000;000
abqar;Abdel Abqar;0;29;167;102;65;780;525;67;1;000;000;000;000;000;000;000
abdoulaye-keita;Abdoulaye Keita;0;2;22;15;7;25;13;1;0;000;000;000;000;000;000;000
abdul-mumin;Abdul Mumin;0;37;150;92;58;1054;833;49;0;020;000;020;010;000;010;000
abdon;Abdon Prats;0;1;53;22;31;48;31;2;0;022;000;022;011;000;011;000
abel-bretones;Abel Bretones;0;35;138;113;25;485;339;22;1;029;014;014;029;000;000;000
abel-ruiz;Abel Ruiz;0;4;78;53;25;213;182;7;1;025;000;025;000;019;006;000
aboubacar-bassinga;Aboubacar Bassinga;0;0;2;2;0;4;1;1;1;000;000;000;000;000;000;000
adam-aznou;Adam Aznou;1;3;18;16;2;18;11;0;0;000;000;000;000;000;000;000
adama-boiro;Adama Boiro;0;13;65;49;16;230;191;3;0;000;000;000;000;000;000;000
januzaj;Adnan Januzaj;17;6;48;40;8;136;103;6;5;040;020;020;040;000;000;020
embarba;Adri Embarba;29;28;158;128;30;339;239;16;2;006;000;006;000;006;000;000
adria-altimira;Adria Alti;0;30;125;102;23;330;244;19;1;000;000;000;000;000;000;000
pedrosa-1;Adria Pedrosa;2;32;143;114;29;520;388;16;1;014;014;000;014;000;000;000
adrian-2;Adrian San Miguel del Castillo;0;0;3;1;2;193;102;42;0;000;000;000;000;000;000;000
arnu;Adrian Arnu;0;0;1;1;0;0;0;0;0;000;000;000;000;000;000;000
adrian-nino;Adrian Nino;0;0;1;0;1;0;0;0;0;000;000;000;000;000;000;000
adrian-pica;Adrian Hernandez Hernandez;0;9;52;24;28;194;132;19;0;000;000;000;000;000;000;000
a-rodriguez-1;Adrian Rodriguez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
malcom-adu-ares;Malcom Abdulai Ares Djalo;0;0;4;4;0;8;5;0;0;000;000;000;000;000;000;000
aihen;Aihen Munoz;0;11;71;44;27;233;174;6;0;000;000;000;000;000;000;000
aimar-1;Aimar Oroz;2;23;230;199;31;685;546;29;7;011;000;011;005;005;000;000
aingeru-olabarrieta;Aingeru Olabarrieta;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
aitor-fdez;Aitor Fernandez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
aitor-gismera;Aitor Gismera;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
paredes-2;Aitor Paredes;0;9;81;36;45;677;518;53;0;060;000;060;020;000;040;000
aitor-r;Aitor Ruibal;2;12;70;55;15;225;184;11;0;000;000;000;000;000;000;000
akor-adams;Akor Adams;0;0;2;0;2;3;2;0;0;000;000;000;000;000;000;000
alassane-diatta;Alassane Diatta;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;0;18;100;66;34;712;610;31;4;000;000;000;000;000;000;000
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
alberto-mari;Alberto Mari;0;0;1;1;0;4;2;0;0;000;000;000;000;000;000;000
a-moleiro;Alberto Moleiro;1;21;244;222;22;666;547;11;8;010;000;010;005;003;003;000
alberto-risco;Alberto Risco;0;4;26;22;4;29;22;0;0;000;000;000;000;000;000;000
alex-balde;Alejandro Balde;0;12;179;159;20;944;837;17;2;000;000;000;000;000;000;000
catena;Alejandro Catena;0;33;155;86;69;990;712;91;0;000;000;000;000;000;000;000
a-frances;Alejandro Frances;0;22;71;60;11;446;359;22;0;000;000;000;000;000;000;000
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
alejandro-jay;Alejandro Jay;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
alex-padilla;Alejandro Padilla;0;0;2;1;1;105;23;29;0;000;000;000;000;000;000;000
alejo-veliz;Alejo Veliz;0;1;145;57;88;156;98;4;0;007;000;007;000;007;000;000
aleksandar-andreev;Aleksandar Andreev;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
sedlar;Aleksandar Sedlar;0;15;40;29;11;155;111;11;0;000;000;000;000;000;000;000
alex-almansa;Alex Almansa;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
berenguer;Alex Berenguer;64;19;180;127;53;484;366;13;3;016;000;016;010;003;003;000
alex-kral;Alex Kral;0;46;218;168;50;651;460;27;6;000;000;000;000;000;000;000
alex-marchal;Alex Marchal;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
alexander-sorloth;Alexander Sørloth;0;5;164;70;94;224;139;3;1;032;000;032;014;011;007;000
alfonso-1;Alfon Gonzalez;0;3;68;61;7;124;92;0;0;007;000;007;000;007;000;000
a-espino;Alfonso Espino;0;22;73;62;11;138;87;7;0;000;000;000;000;000;000;000
a-pedraza;Alfonso Pedraza;0;0;0;0;0;1;1;0;0;000;000;000;000;000;000;000
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
nyom;Allan Nyom;0;11;61;43;18;192;146;8;0;017;000;017;000;017;000;000
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
amath;Amath Ndiaye;0;1;32;27;5;77;56;5;0;000;000;000;000;000;000;000
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
barrenetxea;Ander Barrenetxea;0;17;131;117;14;314;220;24;1;007;000;007;007;000;000;000
guevara;Ander Guevara;0;37;174;124;50;717;521;40;0;000;000;000;000;000;000;000
ander;Ander Herrera;0;8;30;25;5;198;174;6;0;000;000;000;000;000;000;000
gorosabel;Andoni Gorosabel;0;22;75;55;20;354;301;8;0;000;000;000;000;000;000;000
andreas-christensen;Andreas Christensen;0;0;2;1;1;16;14;0;0;000;000;000;000;000;000;000
andrei;Andrei Ratiu;0;48;236;201;35;854;696;23;2;008;008;000;000;008;000;000
lunin;Andrii Lunin;0;0;2;1;1;94;60;15;0;000;000;000;000;000;000;000
andre-almeida-1;Domingos Andre Ribeiro Almeida;19;31;143;126;17;526;449;15;4;000;000;000;000;000;000;000
andre-ferreira;Andre Filipe Magalhaes Ribeiro Ferreira;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
andres-cuenca;Andres Cuenca;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
andy-pelmard;Andy Pelmard;0;5;14;12;2;98;82;5;0;000;000;000;000;000;000;000
ansu-fati;Ansu Fati;0;1;15;10;5;62;53;0;2;000;000;000;000;000;000;000
antal-yaakobishvili;Antal Yaakobishvili;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
budimir;Ante Budimir;0;13;313;109;204;279;156;1;1;028;000;028;019;000;009;000
griezmann;Antoine Griezmann;64;25;141;108;33;928;691;50;8;028;007;021;024;003;000;003
antonio-blanco;Antonio Blanco;0;42;209;166;43;746;546;56;4;000;000;000;000;000;000;000
antonio-candela;Antonio Candela;0;3;14;10;4;90;64;5;1;000;000;000;000;000;000;000
antonio-espigares;Antonio Espigares;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
antonio-gomis;Antonio Gomis;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
a-raillo;Antonio Raillo;0;19;204;67;137;1111;927;57;1;006;000;006;000;000;000;000
antonio-rudiger;Antonio Rudiger;0;14;95;47;48;1491;1277;98;1;000;000;000;000;000;000;000
sivera;Antonio Sivera;0;1;13;7;6;588;132;196;0;000;000;000;000;000;000;000
sanchez;Antonio Sanchez;1;19;73;63;10;311;216;21;1;000;000;000;000;000;000;000
antoniu-roca;Antoniu Roca;0;10;81;67;14;100;71;1;0;000;000;000;000;000;000;000
antony;Antony Matheus dos Santos;2;6;40;32;8;164;127;4;2;025;000;025;025;000;000;000
a-tuhami;Anuar Tuhami;1;20;136;99;37;282;227;4;1;033;000;033;000;033;000;000
arda-guler;Arda Guler;10;16;91;78;13;350;293;18;3;008;000;008;008;000;000;000
aridane-1;Aridane Hernandez;0;2;17;6;11;88;68;8;0;000;000;000;000;000;000;000
arambarri-1;Aritz Arambarri;0;1;15;1;14;67;48;1;0;000;000;000;000;000;000;000
aritz;Aritz Elustondo;0;12;72;47;25;416;333;21;2;000;000;000;000;000;000;000
arkaitz-mariezkurrena;Arkaitz Mariezkurrena;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
