ID;Jugador;BLOQ;INTER;R;D;EE;EF;JUH;DE;DF;DAE;DAF
kim-min-su;Min-Su Kim;0;0;1;0;0;1;0;2;4;0;1
kirian;Kirian Rodríguez;4;10;100;20;17;16;0;75;64;13;17
koke-5;Jorge Iglesias González;0;0;0;0;0;0;0;0;0;0;0
koke;Jorge Resurrección Merodio;1;17;93;22;21;16;0;63;57;8;9
kylian-mbappe-lottin;Kylian Mbappé;0;0;25;0;5;3;0;93;116;2;3
ladislav-krejci-ii;Ladislav Krejcí;12;21;57;48;10;5;0;49;42;25;14
gonzalo-aguilar;Lalo Aguilar;0;0;0;0;0;0;0;0;0;0;0
lamine-yamal;Lamine Yamal Nasraoui Ebana;0;10;75;3;19;8;0;159;134;0;1
leandro-antonetti;Leandro Antonetti;0;0;1;0;0;0;0;0;0;0;0
cabrera;Leandro Cabrera;13;23;56;116;15;15;0;89;56;53;31
leo-1;Leo Román;0;0;34;1;0;0;0;1;0;0;0
llorenc-serred;Llorenç Serred;0;0;0;0;0;0;0;0;0;0;0
logan-costa;Logan Evans Costa;8;11;58;56;13;12;0;54;32;26;21
lorenzo-aguado-herrera;Lorenzo Aguado Herrera;0;0;0;2;0;0;0;0;1;0;0
loic-bade;Loïc Badé;8;19;91;79;21;15;0;90;49;41;19
luca-lohr;Luca Löhr;0;0;0;0;0;0;0;0;0;0;0
luca-de-la-torre;Luca de la Torre;0;0;0;0;0;0;0;0;3;0;1
lucas-alcazar-moreno;Lucas Alcázar;0;0;0;0;0;0;0;0;0;0;0
lucas-garcia;Lucas García Madrigal;0;0;0;0;0;0;0;0;0;0;0
l-ocampos;Lucas Ocampos;0;0;6;1;2;1;0;10;15;3;4
lucas-rosa;Lucas Oliveira Rosa;9;28;87;51;33;20;0;104;84;18;10
torro;Lucas Torró;6;30;126;42;28;19;0;191;136;114;39
lucas-v;Lucas Vázquez;1;12;52;15;22;13;0;68;59;4;9
lucien-agoume;Lucien Agoumé;7;19;78;13;10;22;0;67;63;21;25
l-milla;Luis Milla;0;16;105;17;27;13;0;109;92;23;30
l-perez;Luis Pérez;7;25;68;56;24;10;0;73;64;14;29
l-rioja;Luis Rioja;1;21;79;22;14;10;0;92;106;10;19
luiz-junior-1;Luiz Lúcio Reis Júnior;0;0;50;13;0;0;0;3;0;2;0
modric;Luka Modric;1;13;65;9;9;5;0;35;47;3;10
luka;Luka Romero;0;1;9;0;4;0;0;10;15;2;4
luka-sucic;Luka Sucic;2;12;86;11;15;6;0;79;70;21;16
luken-beitia;Luken Beitia;0;0;1;2;1;0;0;2;0;1;0
m-sylla;Mamadou Sylla;0;1;20;10;1;2;0;56;65;33;42
manu-bueno;Manu Bueno;0;0;5;2;3;1;0;8;5;0;1
manu-fuster;Manu Fuster;1;2;36;9;7;6;0;43;43;3;9
manu-gonzalez;Manuel González Pallarés;0;0;0;0;0;0;0;0;0;0;0
morlanes;Manu Morlanes;7;23;62;14;20;12;0;51;46;8;14
m-sanchez;Manu Sánchez;2;20;65;34;31;15;0;71;96;8;20
marash-kumbulla;Marash Kumbulla;24;21;52;142;18;17;0;103;76;44;35
bartra;Marc Bartra;10;24;58;93;10;5;0;59;49;31;28
marc-bernal;Marc Bernal;1;1;9;4;6;2;0;14;14;1;6
marc;Marc Cardona;0;0;4;0;0;1;0;3;11;0;4
marc-casado;Marc Casadó;5;20;83;15;21;17;0;83;67;8;20
marc-domenech;Marc Domenech;0;0;3;0;0;0;0;6;11;5;5
marc-roca;Marc Roca;5;14;51;12;14;6;0;34;44;5;13
marc-vidal;Marc Vidal;0;0;0;0;0;0;0;0;0;0;0
ter-stegen;Marc-André ter Stegen;0;0;41;4;0;0;0;3;1;2;0
marco-de-las-sias;Marco de Las Sias;0;0;0;0;0;0;0;0;0;0;0
marcos-alonso;Marcos Alonso;5;24;97;78;15;6;0;92;62;48;28
marcos-andre;Marcos André de Sousa Mendonça;2;3;39;8;5;1;0;96;82;46;37
m-llorente;Marcos Llorente;2;16;81;31;28;9;0;71;48;11;11
marcao;Marcos do Nascimento Teixeira;6;6;23;27;6;3;0;31;18;13;6
mario-maroto;Mario Maroto;0;2;1;1;0;0;0;2;2;1;1
mario-martin;Mario Martín;4;16;61;36;21;21;0;111;109;22;23
dmitrovic;Marko Dmitrovic;0;0;190;29;1;0;0;14;1;8;0
maroan-sannadi;Maroan Sannadi;0;0;5;0;0;0;0;10;16;2;2
martin-cuellar;Martin Cuellar;0;0;0;0;0;0;0;0;0;0;0
valjent;Martin Valjent;7;13;62;100;9;6;0;53;38;27;25
martin-conde;Martín Conde;0;0;0;0;0;0;0;0;0;0;0
martin-tejon;Martín Tejón;0;0;4;0;0;2;0;5;10;0;3
zubimendi;Martín Zubimendi;12;32;105;54;31;24;0;127;90;41;22
marvin-1;Marvin Park;3;5;33;12;5;7;0;30;34;6;7
mateo-flores;Mateo Flores;0;2;10;3;1;2;0;4;8;0;2
mateo-mejia;Mateo Mejía;0;0;0;0;0;0;0;2;0;1;0
mateu-morey;Mateu Morey;0;9;18;11;8;1;0;25;25;4;3
matija-nastasic;Matija Nastasic;25;16;37;127;9;11;0;57;32;30;13
matias-arbol;Matías Árbol;0;0;0;0;0;0;0;0;0;0;0
m-arambarri;Mauro Arambarri;4;6;74;31;13;12;0;105;99;41;39
max-aarons;Max Aarons;0;0;4;0;1;0;0;2;1;0;0
maximiliano-caufriez;Maximiliano Caufriez;1;1;1;4;1;0;0;3;7;2;5
miguel-3;Miguel Gutiérrez;4;13;116;22;20;11;0;74;77;5;10
miguel-2;Miguel de la Fuente;3;4;23;19;5;9;0;77;160;27;86
m-morro;Miguel Ángel Morro;0;0;0;0;0;0;0;0;0;0;0
mihailo-ristic;Mihailo Ristic;0;1;11;5;3;0;0;7;21;0;4
mika-marmol;Mika Mármol;12;25;48;65;15;22;0;60;52;13;12
mikel-jauregizar;Mikel Jauregizar;1;20;88;14;29;25;0;107;109;17;21
oyarzabal;Mikel Oyarzabal;1;4;32;10;9;6;0;57;87;22;53
vesga;Mikel Vesga;0;10;52;11;12;6;0;36;42;15;10
moi-gomez;Moi Gómez;1;5;50;5;7;4;0;33;40;6;12
diakhaby;Mouctar Diakhaby;0;2;4;2;1;0;0;5;2;4;0
moussa-diarra-1;Moussa Diarra;3;21;65;30;17;11;0;82;67;29;25
munir;Munir El Haddadi;1;0;25;1;8;3;0;43;56;8;18
nabil-aberdin;Nabil Aberdin;0;0;8;5;4;2;0;24;12;10;3
fekir;Nabil Fekir;0;0;3;0;2;1;0;10;16;0;2
nacho-vidal;Nacho Vidal;0;0;5;6;0;2;0;8;8;3;1
naci-unuvar;Naci Ünüvar;0;0;3;0;2;0;0;3;2;0;0
nahuel-molina;Nahuel Molina;2;10;43;28;12;18;0;54;47;8;8
nahuel-tenaglia;Nahuel Tenaglia;3;28;71;76;39;25;0;135;95;30;36
naim-garcia;Naim García;0;0;0;0;0;0;0;0;0;0;0
natan;Natan Bernardo de Souza;9;16;37;67;15;9;0;73;36;43;21
nayef-aguerd;Nayef Aguerd;14;13;65;84;24;6;0;112;51;59;31
gudelj;Nemanja Gudelj;6;21;55;64;15;16;0;85;49;38;22
nicolas-serrano;Nico Serrano;0;1;3;1;1;0;0;6;15;0;2
williams-jr;Nicholas Williams Arthuer;0;5;62;1;15;9;0;106;143;8;11
nicolas-pepe;Nicolas Pépé;1;3;27;5;2;4;0;38;50;9;13
noah-darvich;Noah Darvich;0;0;0;0;0;0;0;0;0;0;0
nobel-mendy;Nobel Mendy;0;0;0;0;0;0;0;0;0;0;0
oier-gastesi;Oier Gastesi;0;0;0;0;0;0;0;0;0;0;0
o-sancet-1;Oihan Sancet;0;5;59;5;6;4;0;56;83;9;9
oliver-mcburnie;Oliver McBurnie;3;4;20;14;5;4;0;81;100;52;54
omar-alderete;Omar Alderete;19;29;83;144;19;10;0;116;83;71;41
omar-1;Omar El Hilali;7;31;92;90;59;27;0;144;87;24;18
mascarell;Omar Mascarell;11;31;48;41;11;10;0;63;51;27;16
omar-sadik;Omar Sadik;0;0;0;0;0;0;0;0;0;0;0
oriol-romeu;Oriol Romeu;5;7;55;12;19;10;0;54;54;10;12
orri-oskarsson;Orri Óskarsson;0;1;9;7;4;0;0;26;53;18;33
pablo-barrios-rivas;Pablo Barrios;2;21;85;21;18;11;0;84;68;22;12
pablo-busto-1;Pablo Busto;0;0;0;0;0;0;0;0;0;0;0
pablo-duran;Pablo Durán;2;7;30;5;6;4;0;30;72;7;17
p-fornals;Pablo Fornals;0;14;55;7;7;4;0;38;54;16;11
pablo-garcia-5;Pablo García;0;0;2;0;0;0;0;1;1;0;0
pablo-ibanez;Pablo Ibáñez;5;12;40;14;5;6;0;45;54;13;17
maffeo;Pablo Maffeo;10;17;66;44;22;15;0;100;62;11;14
pablo-marin;Pablo Marín;0;1;21;3;7;2;0;32;27;8;10
pablo-rivera;Pablo Rivera;0;0;0;0;0;0;0;0;0;0;0
pablo-torre;Pablo Torre;0;1;10;3;4;1;0;15;19;1;6
pablo-valencia;Pablo Valencia;0;0;0;0;0;0;0;0;0;0;0
papa-dame-ba;Papa Dame Ba;0;0;1;0;1;0;0;6;3;0;0
pape-alassane-gueye;Pape Gueye;7;18;91;33;20;23;0;121;77;21;22
pathe-ciss;Pathé Ciss;5;19;88;34;16;16;0;92;83;32;17
pau-cabanes-de-la-torre;Pau Cabanes;0;3;11;1;4;1;0;23;27;2;5
pau-cubarsi;Pau Cubarsí;7;11;72;67;17;6;0;91;53;56;32
pau-lopez;Pau López;0;0;5;1;0;0;0;1;0;1;0
pau-navarro;Pau Navarro;5;3;31;17;10;5;0;27;21;3;7
pau-victor;Pau Víctor;1;2;13;3;1;0;0;13;20;2;1
paulo-gazzaniga;Paulo Gazzaniga;0;0;173;12;1;0;0;7;2;0;1
pedri;Pedro González López;2;14;157;9;20;18;0;101;74;3;4
pedro-aleman;Pedro Alemañ;0;0;0;0;0;0;0;0;0;0;0
pedro-diaz;Pedro Díaz;0;5;35;2;7;3;0;21;20;3;4
pedro-ortiz;Pedro Ortiz;0;0;0;0;0;0;0;0;0;0;0
peio-canales;Peio Canales;0;1;8;1;2;0;0;5;3;0;1
pejino;Francisco Jesús Crespo García;0;0;2;0;1;0;0;1;1;0;0
pelayo-fernandez;Pelayo Fernández;0;0;0;0;0;0;0;0;0;0;0
chavarria-1;Pep Chavarría;8;19;74;64;22;9;0;67;56;16;16
pepelu;José Luis García Vayá;6;12;80;22;18;15;0;71;64;21;17
peque-1;Gerard Fernández Castellano;0;7;28;3;3;6;0;38;72;6;21
pere-joan;Pere García;0;0;0;0;0;0;0;0;0;0;0
pere-milla;Pere Milla;2;2;16;2;1;2;0;15;24;3;4
peter;Peter Federico González Carmona;0;1;13;4;4;3;0;24;35;6;12
pol-lozano;Pol Lozano;4;17;69;16;26;15;0;62;94;6;13
pol-tristan;Pol Tristán;0;0;0;0;0;0;0;0;0;0;0
portu;Cristian Portugués Manzanera;0;0;9;1;2;5;0;17;14;3;6
rafa-mir;Rafa Mir;0;1;7;5;4;3;0;17;26;6;11
rafael-bauza;Rafael Bauza;1;0;4;5;3;2;0;9;14;3;2
rafa-romero;Rafael Romero;0;0;0;0;0;0;0;0;0;0;0
r-terrats;Ramon Terrats;2;2;19;10;3;0;0;22;29;7;5
ramon-martinez;Ramón Martínez;0;0;0;0;0;0;0;2;0;1;0
nteka;Randy Nteka;2;4;19;12;5;5;0;54;97;28;44
raphinha;Raphael Dias Belloli;2;6;73;17;20;9;0;101;83;5;5
rayane-belaid;Rayane Belaid;0;0;0;0;0;0;0;0;0;0;0
r-albiol;Raúl Albiol;9;6;44;67;9;1;0;45;29;30;15
raul;Raúl Asencio;1;5;43;45;8;5;0;46;21;17;8
raul-chasco;Raúl Chasco;0;2;2;1;1;3;0;4;8;0;0
raul-4;Raúl García;0;0;9;3;4;5;0;44;40;16;12
raul-jimenez-1;Raúl Jiménez;0;0;0;0;0;0;0;0;0;0;0
raul-martinez-1;Raúl Martínez;0;0;0;0;0;0;0;0;0;0;0
raul-moro;Raúl Moro;0;9;54;8;8;6;0;71;74;6;9
r-d-t;Raúl de Tomás;0;0;0;0;0;0;0;0;0;0;0
reinildo;Reinildo Isnard Mandava;5;16;46;29;11;6;0;41;49;8;15
tapia-1;Renato Tapia;16;13;92;48;19;15;0;86;67;18;15
ricard-artero;Ricard Artero;0;0;0;0;0;0;0;0;0;0;0
ricardo-rodriguez-1;Ricardo Rodríguez;0;4;32;20;11;8;0;38;28;12;12
robert-lewandowski;Robert Lewandowski;2;3;38;22;3;4;0;75;92;23;30
navarro-2;Robert Navarro;0;19;89;7;22;7;0;83;77;4;9
roberto-fernandez-2;Roberto Fernández;1;2;15;6;4;0;0;30;41;13;16
lopez-alcaide;Roberto López;0;1;28;6;5;2;0;13;23;2;6
le-normand;Robin Le Normand;5;6;42;54;11;6;0;56;50;26;18
rodri-3;Rodrigo Sánchez Rodríguez;1;1;10;1;1;1;0;6;11;0;2
rodrigo-abajas;Rodrigo Abajas;0;1;2;0;2;1;0;4;5;0;1
de-paul;Rodrigo De Paul;2;4;79;10;12;5;0;57;57;3;5
riquelme;Rodrigo Riquelme;0;1;14;2;3;5;0;21;29;3;4
rodrygo;Rodrygo Silva de Goes;1;7;47;4;8;2;0;75;64;5;11
romain-perraud;Romain Perraud;3;18;71;44;17;10;0;73;77;7;12
r-araujo;Ronald Araujo;0;2;4;4;1;0;0;16;7;13;5
ruben-garcia;Rubén García;1;11;80;24;25;12;0;85;91;20;28
ruben-gomez-peris;Rubén Gómez;0;0;0;0;0;0;0;0;0;0;0
ruben-iranzo;Rubén Iranzo;0;0;0;0;0;0;0;0;0;0;0
r-pena;Rubén Peña;0;5;28;9;2;6;0;27;62;5;13
ruben-vargas;Rubén Vargas;0;1;16;4;4;1;0;20;28;4;3
rui-silva;Rui Tiago Dantas da Silva;0;0;129;8;0;0;0;4;2;2;0
sanchez-1;Salvi Sánchez;0;0;0;0;0;0;0;0;0;0;0
samuel-lino;Samuel Dias Lino;3;7;63;8;9;11;0;62;65;8;7
samu-3;Samuel de Almeida Costa;9;20;81;53;28;27;0;146;110;50;22
sandro;Sandro Ramírez;0;13;58;15;13;6;0;64;73;8;8
santi-c-v;Santi Comesaña;11;14;103;27;31;16;0;94;118;18;31
santiago-mourino;Santiago Mouriño;3;13;42;45;12;5;0;44;42;13;12
saul-1;Saúl Ñíguez;2;10;47;11;18;9;0;54;72;16;19
scott-mckenna;Scott McKenna;23;8;49;111;9;5;0;72;42;54;26
sebastian-john-wade-gardiner;Sebas Wade;0;0;0;0;0;0;0;0;0;0;0
selim-amallah;Selim Amallah;1;7;45;3;11;7;0;66;72;4;9
silvi-clua;Selvi Clua;0;2;4;6;7;1;0;16;12;6;3
sergi-altimira;Sergi Altimira;1;15;87;30;27;18;0;90;73;7;15
sergi-canos;Sergi Canós;1;5;20;4;6;4;0;21;40;4;7
sergi-cardona;Sergi Cardona;7;27;104;67;32;15;0;110;80;33;20
s-darder;Sergi Darder;1;9;68;12;17;11;0;73;66;10;3
sergi-dominguez;Sergi Domínguez;0;3;8;7;1;0;0;2;5;1;3
sergi-guardiola;Sergi Guardiola;0;1;4;2;2;1;0;11;15;2;6
s-gomez;Sergi Gómez;8;7;15;36;5;3;0;20;27;11;20
sergio-arribas-1;Sergio Arribas;2;3;3;4;4;3;0;8;1;1;0
camello;Sergio Camello;1;4;32;16;3;6;0;43;70;11;26
s-carreira;Sergio Carreira;2;8;31;14;15;7;0;32;36;1;9
sergio-g;Sergio González;18;30;62;132;20;7;0;75;73;39;42
sergio-gomez;Sergio Gómez;1;14;106;14;32;19;0;85;77;12;18
s-herrera;Sergio Herrera;0;0;224;27;1;1;0;9;3;4;1
sergio-mestre;Sergio Mestre;0;0;0;0;0;0;0;0;0;0;0
sergio-ruiz-1;Sergio Ruiz;0;0;0;0;0;0;0;0;0;0;0
sergio-vieira;Sergio Viera;0;0;0;0;0;0;0;0;0;0;0
seydouba-cisse;Seydouba Cissé;1;7;107;24;21;13;0;93;87;16;24
sheraldo-becker;Sheraldo Becker;0;1;29;9;2;0;0;26;31;7;16
siebe-van-der-heyden;Siebe Van der Heyden;0;2;5;3;1;0;0;4;6;2;1
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;1;4;15;1;5;3;0;21;18;1;0
stanko-juric;Stanko Juric;7;16;75;45;20;21;0;92;84;39;14
stefan-bajcetic;Stefan Bajcetic;0;4;12;5;5;4;0;23;27;6;6
stipe-biuk;Stipe Biuk;0;0;0;0;0;0;0;0;0;0;0
stoichkov;Juan Diego Molina Martínez;0;1;44;7;9;5;0;41;44;6;15
dimitrievski;Stole Dimitrievski;0;0;36;5;0;0;0;0;0;0;0
suso;Jesús Joaquín Fernández Sáenz de la Torre;0;0;13;0;1;1;0;14;19;1;2
sebastien-haller;Sébastien Haller;0;0;10;7;0;2;0;34;29;26;17
tadeo-allende;Tadeo Allende;0;0;1;0;0;0;0;0;1;0;0
tajon-buchanan;Tajon Buchanan;0;1;2;1;2;3;0;8;7;1;1
take;Takefusa Kubo;1;9;81;7;13;8;0;118;121;8;11
takuma-asano;Takuma Asano;0;4;24;4;5;2;0;25;30;5;9
tamas-nikitscher;Tamás Nikitscher;1;5;10;2;3;3;0;11;6;4;0
nianzou-kouassi;Tanguy Nianzou;0;8;9;26;5;2;0;32;13;18;3
tasos-douvikas;Tasos Douvikas;2;3;15;6;4;5;0;54;61;15;23
thiago-ojeda;Thiago Ojeda;0;0;0;1;0;0;0;0;1;0;0
courtois;Thibaut Courtois;0;1;165;20;0;0;0;7;1;7;0
thierno-barry-1;Thierno Barry;2;0;26;10;7;3;0;124;104;72;38
thierry-r;Thierry Rendall Correia;1;4;38;16;18;9;0;53;45;4;8
lemar;Thomas Lemar;0;0;0;0;0;0;0;1;2;0;0
tomas-conechny;Tomás Conechny;2;5;34;7;7;3;0;41;62;18;17
toni-fernandez;Toni Fernández;0;0;0;0;0;0;0;0;0;0;0
lato;Antonio Latorre Grueso;0;3;14;9;5;2;0;10;15;2;4
t-martinez;Toni Martínez;2;0;21;9;5;4;0;81;64;58;50
toni-villa;Laureano Antonio Villa Suárez;0;0;0;0;0;0;0;0;0;0;0
sadiq;Umar Sadiq;1;1;11;2;3;4;0;37;63;16;19
unai-egiluz;Unai Egiluz;0;0;0;0;0;0;0;0;0;0;0
unai-garcia;Unai García;0;0;0;0;0;0;0;0;0;0;0
unai-gomez;Unai Gómez;0;2;22;8;2;4;0;47;47;19;19
unai-lopez;Unai López;2;19;83;12;12;7;0;44;44;6;8
marrero;Unai Marrero;0;0;0;0;0;0;0;0;0;0;0
nunez-2;Unai Núñez;2;12;14;13;2;0;0;10;6;4;3
unai-simon;Unai Simón;0;0;60;7;0;0;0;2;1;2;0
gonzalez-de-zarate;Urko González;2;3;14;8;6;5;0;19;19;6;8
valentin-rosier;Valentin Rosier;8;33;77;92;38;13;0;105;89;22;13
valentin-barco;Valentín Barco;0;2;16;2;9;6;0;23;23;0;3
valentin-pezzolesi;Valentín Pezzolesi;0;0;1;1;0;0;0;0;0;0;0
valery;Valery Fernández;1;0;15;1;7;1;0;10;15;1;3
vedat-muriqi;Vedat Muriqi;1;6;30;25;1;1;0;128;105;96;62
vicent-abril;Vicent Abril;0;0;0;0;0;0;0;0;0;0;0
guaita;Vicente Guaita;0;0;210;23;0;0;0;12;0;9;0
viktor-tsygankov;Viktor Tsyhankov;0;7;34;7;10;1;0;38;43;4;10
vini-jr;Vinícius José Paixão de Oliveira Júnior;0;2;43;0;8;8;0;123;134;1;6
viti;Viti Rozada;3;18;44;28;28;14;0;75;43;12;12
vitor-roque;Vitor Hugo Roque Ferreira;0;7;35;4;6;5;0;66;122;15;32
vladyslav-krapyvtsov;Vladyslav Krapyvtsov;0;0;0;0;0;0;0;0;0;0;0
v-meseguer;Víctor Meseguer;0;2;25;4;6;4;0;26;29;10;8
victor-munoz;Víctor Muñoz Villanueva;0;0;0;0;0;0;0;0;0;0;0
victor-puig;Víctor Puig;0;0;0;0;0;0;0;0;0;0;0
walid-cheddira;Walid Cheddira;0;1;18;6;0;4;0;44;62;13;23
warren-madrigal;Warren Madrigal;0;0;0;0;0;0;0;0;0;0;0
william-2;William Silva de Carvalho;1;3;16;4;2;1;0;10;14;4;1
