ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
benat-turrientes;Benat Turrientes;7;7;30;22;8;91;77;4;0;000;000;000;000;000;000;000
bojan-miovski;Bojan Miovski;0;1;5;5;0;15;14;0;0;000;000;000;000;000;000;000
b-iglesias;Borja Iglesias;0;1;14;11;3;36;27;1;1;067;000;067;033;033;000;000
brahim;Brahim Diaz;0;2;20;19;1;56;47;1;2;100;000;100;100;000;000;000
brais-mendez;Brais Mendez;1;4;50;43;7;118;90;3;0;017;000;017;000;017;000;000
b-olivan;Brian Olivan;4;3;7;5;2;28;20;1;0;000;000;000;000;000;000;000
bryan;Bryan Gil;0;12;55;54;1;115;101;2;0;011;000;011;011;000;000;000
bryan-zaragoza;Bryan Zaragoza;2;3;32;30;2;56;36;5;1;000;000;000;000;000;000;000
carl-starfelt;Carl Starfelt;0;1;11;3;8;152;147;1;0;050;000;050;000;000;050;000
alena;Carles Alena;1;4;24;16;8;39;26;4;0;000;000;000;000;000;000;000
c-perez;Carles Perez;0;3;29;25;4;37;20;1;0;000;000;000;000;000;000;000
carlos-benavidez;Carlos Benavidez;0;2;11;8;3;28;18;2;1;000;000;000;000;000;000;000
c-dominguez;Carlos Dominguez;0;6;20;10;10;192;160;10;0;000;000;000;000;000;000;000
carlos-guirao;Carlos Guirao;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
carlos-martin;Carlos Martin;0;1;8;7;1;8;6;0;0;000;000;000;000;000;000;000
carlos-romero;Carlos Romero;5;9;32;28;4;107;78;1;0;100;000;100;100;000;000;000
carlos-vicente;Carlos Vicente;13;5;30;26;4;91;64;3;0;025;000;025;025;000;000;000
catala;Jose Luis Catala Vazquez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
cenk-ozkacar;Cenk Ozkacar;0;0;0;0;0;2;1;0;0;000;000;000;000;000;000;000
chidera-ejuke;Chidera Ejuke;10;1;28;27;1;104;84;2;0;000;000;000;000;000;000;000
chimy-avila;Chimy Avila;0;0;5;4;1;16;14;0;0;000;000;000;000;000;000;000
christantus-uche;Christantus Uche;0;4;51;33;18;46;31;0;0;050;000;050;000;000;050;000
ivan-cantalejo;Ivan Cantalejo;0;1;4;4;0;3;3;0;0;000;000;000;000;000;000;000
lenglet;Clement Lenglet;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
coba-da-costa;Coba da Costa;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
conor-gallagher;Conor Gallagher;0;3;16;15;1;32;23;0;0;000;000;000;000;000;000;000
copete;Jose Manuel Arias Copete;0;1;2;2;0;2;1;1;0;000;000;000;000;000;000;000
cristhian-mosquera;Cristhian Mosquera;0;2;19;11;8;242;211;11;0;000;000;000;000;000;000;000
stuani;Cristhian Stuani;0;0;1;0;1;6;4;0;0;100;000;100;000;100;000;000
cyle-larin;Cyle Larin;0;2;19;16;3;28;21;1;0;000;000;000;000;000;000;000
cesar-azpilicueta;Cesar Azpilicueta;0;5;25;16;9;217;188;7;0;000;000;000;000;000;000;000
cesar-gonzalez;Cesar Fernandez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
cesar-tarrega;Cesar Tarrega;0;1;16;7;9;103;88;4;0;000;000;000;000;000;000;000
c-de-la-hoz;Cesar de la Hoz;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
daley-blind;Daley Blind;0;5;22;18;4;361;313;24;0;000;000;000;000;000;000;000
daley-sinkgraven;Daley Sinkgraven;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
damian-rodriguez;Damian Rodriguez;10;2;21;18;3;214;186;10;0;000;000;000;000;000;000;000
carvajal;Dani Carvajal;0;5;22;18;4;182;151;7;0;000;000;000;000;000;000;000
d-ceballos;Dani Ceballos;1;4;13;13;0;61;54;0;0;000;000;000;000;000;000;000
cardenas;Dani Cardenas;0;0;1;0;1;89;23;21;0;000;000;000;000;000;000;000
dani-gomez-1;Dani Gomez;0;1;4;2;2;9;6;0;0;000;000;000;000;000;000;000
dani-olmo;Dani Olmo;0;1;18;16;2;58;49;2;3;029;000;029;014;014;000;000
parejo;Dani Parejo;1;6;18;15;3;143;121;9;0;050;000;050;050;000;000;000
dani-raba;Dani Raba;0;6;22;20;2;32;19;3;0;000;000;000;000;000;000;000
dani-rodriguez;Dani Rodriguez;13;10;27;22;5;75;53;7;3;025;000;025;000;000;025;000
vivian;Dani Vivian;0;3;24;12;12;224;191;10;1;000;000;000;000;000;000;000
daniel-luna;Daniel Luna;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
daniel-requena;Daniel Requena;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
darko;Darko Brasanac;0;4;27;17;10;89;58;4;0;000;000;000;000;000;000;000
d-machis;Darwin Machis;1;0;1;1;0;10;5;0;0;000;000;000;000;000;000;000
david-lopez;David Lopez;0;3;15;8;7;314;284;13;0;000;000;000;000;000;000;000
david-otorbi;David Otorbi;0;0;0;0;0;4;2;0;0;000;000;000;000;000;000;000
david-soria;David Soria;0;0;1;0;1;56;16;10;0;000;000;000;000;000;000;000
david-torres-1;David Torres;0;0;0;0;0;2;1;0;0;000;000;000;000;000;000;000
diego-conde;Diego Conde;0;0;2;2;0;102;56;19;0;000;000;000;000;000;000;000
diego-ferrer;Diego Ferrer;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
diego-garcia-2;Diego Garcia;0;0;20;6;14;19;10;1;0;000;000;000;000;000;000;000
llorente-r;Diego Llorente;0;2;11;8;3;141;109;9;0;000;000;000;000;000;000;000
diego-lopez-noguerol;Diego Lopez;0;2;29;22;7;101;77;4;0;100;000;100;000;000;100;000
rico;Diego Rico;0;13;24;20;4;89;48;7;0;000;000;000;000;000;000;000
foulquier;Dimitri Foulquier;0;5;17;16;1;79;50;6;0;000;000;000;000;000;000;000
dimitrios-stamatakis;Dimitrios Stamatakis;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
dinko-horkas;Dinko Horkas;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
djene;Djene Dakonam;0;0;13;4;9;81;54;8;0;000;000;000;000;000;000;000
djibril-sow;Djibril Sow;0;4;20;16;4;101;88;3;0;000;000;000;000;000;000;000
dodi-lukebakio;Dodi Lukebakio;8;2;30;30;0;58;48;2;0;013;000;013;000;013;000;000
domingos-d;Domingos de Sousa Coutinho Meneses Duarte;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
dominik-greif;Dominik Greif;0;0;0;0;0;68;23;15;0;000;000;000;000;000;000;000
donny-van-de-beek;Donny van de Beek;0;0;2;2;0;3;1;0;0;000;000;000;000;000;000;000
endrick;Endrick Felipe Moreira de Sousa;0;0;2;2;0;2;1;0;0;025;000;025;000;025;000;000
eneko-ortiz;Eneko Ortiz;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
franquesa;Enric Franquesa;0;8;25;19;6;43;33;1;0;100;000;100;100;000;000;000
enzo-barrenechea;Enzo Barrenechea;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
boyomo;Enzo Boyomo;0;6;18;10;8;190;171;3;0;000;000;000;000;000;000;000
loiodice;Enzo Loiodice;5;2;12;9;3;97;76;3;0;000;000;000;000;000;000;000
eray-ervin-cumart;Eray Comert;0;3;15;8;7;102;79;8;0;000;000;000;000;000;000;000
eric-bailly;Eric Bailly;0;2;10;7;3;137;113;6;0;000;000;000;000;000;000;000
eric-garcia;Eric Garcia;0;3;10;5;5;29;27;0;0;000;000;000;000;000;000;000
etienne-etoo-pineda;Etienne Etoo Pineda;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
etta-eyong;Etta Eyong;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
fabio;Fabio Gonzalez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
valverde-1;Federico Valverde;0;8;27;23;4;259;222;11;1;017;017;000;000;017;000;017
f-mendy;Ferland Mendy;0;5;15;13;2;131;119;6;0;000;000;000;000;000;000;000
fermin-lopez;Fermin Lopez;0;2;12;11;1;24;22;2;0;000;000;000;000;000;000;000
calero;Fernando Calero;0;3;9;7;2;101;71;14;0;000;000;000;000;000;000;000
pacheco-2;Fernando Pacheco;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
ferran;Ferran Torres;4;0;9;8;1;52;40;1;0;025;000;025;000;025;000;000
lejeune;Florian Lejeune;0;8;38;16;22;142;92;13;0;000;000;000;000;000;000;000
fran-beltran;Fran Beltran;0;5;19;16;3;130;115;7;1;050;050;000;000;050;000;000
fran-garcia-1;Fran Garcia;0;4;11;9;2;102;92;4;0;000;000;000;000;000;000;000
francisco-gonzalez;Francisco Javier Gonzalez Perez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
f-vieites;Francisco Barbosa Vieites;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
gabriel-misehouy;Gabriel Misehouy;1;0;0;0;0;6;6;0;0;100;000;100;000;100;000;000
gumbau;Gerard Gumbau;0;3;13;8;5;13;7;0;0;000;000;000;000;000;000;000
gerard-2;Gerard Martin;0;0;5;4;1;56;45;2;0;000;000;000;000;000;000;000
gerard;Gerard Moreno;0;2;10;8;2;47;35;3;0;000;000;000;000;000;000;000
giorgi-mamardashvili;Giorgi Mamardashvili;0;0;3;1;2;116;57;23;0;000;000;000;000;000;000;000
giuliano-simeone;Giuliano Simeone;0;0;3;3;0;2;1;0;1;000;000;000;000;000;000;000
gonzalo-montiel;Gonzalo Montiel;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
guruzeta;Gorka Guruzeta;0;2;31;18;13;56;43;1;0;000;000;000;000;000;000;000
gorka-rivera;Gorka Rivera;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
hamari-traore;Hamari Traore;0;11;35;24;11;154;118;9;0;000;000;000;000;000;000;000
horatiu-moldovan;Horatiu Moldovan;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
hugo-duro;Hugo Duro;0;3;42;19;23;53;36;0;0;022;000;022;011;000;011;000
hugo-g;Hugo Guillamon;0;3;14;9;5;79;59;4;0;000;000;000;000;000;000;000
hugo-novoa;Hugo Novoa;0;1;16;8;8;28;21;1;0;000;000;000;000;000;000;000
hugo-sotelo;Hugo Sotelo;0;0;1;1;0;15;8;2;0;000;000;000;000;000;000;000
hugo-alvarez-1;Hugo Alvarez;1;7;33;31;2;150;118;4;0;000;000;000;000;000;000;000
hector-bellerin;Hector Bellerin;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
hector-fort;Hector Fort;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
iago-aspas;Iago Aspas;1;1;23;20;3;105;75;10;5;029;014;014;029;000;000;000
zubeldia;Igor Zubeldia;0;1;11;5;6;76;62;3;0;000;000;000;000;000;000;000
iker-almena;Iker Almena;0;0;5;5;0;26;21;0;0;000;000;000;000;000;000;000
iker-benito;Iker Benito;0;0;5;4;1;11;9;0;0;000;000;000;000;000;000;000
iker-cordoba;Iker Cordoba;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
losada;Iker Losada;0;0;1;1;0;4;3;0;0;000;000;000;000;000;000;000
iker-munoz;Iker Munoz;0;0;4;1;3;28;18;1;0;000;000;000;000;000;000;000
iker-alvarez;Iker Alvarez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
ilaix;Ilaix Moriba;0;5;26;20;6;89;75;5;0;000;000;000;000;000;000;000
ilias-akhomach;Ilias Akhomach;2;4;30;27;3;30;21;2;0;000;000;000;000;000;000;000
ilias-kostis;Ilias Kostis;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
irvin-cardona;Irvin Cardona;0;1;14;9;5;30;18;1;0;000;000;000;000;000;000;000
isaac-romero;Isaac Romero;0;1;34;22;12;49;37;2;1;000;000;000;000;000;000;000
isi-2;Isi Palazon;5;2;31;27;4;52;38;4;1;000;000;000;000;000;000;000
balliu;Ivan Balliu;0;5;29;19;10;59;34;2;0;000;000;000;000;000;000;000
cuellar;Ivan Cuellar;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
ivan-gil;Ivan Gil;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
ivan-martin;Ivan Martin;0;4;23;22;1;181;159;1;0;100;000;100;000;100;000;000
i-sanchez;Ivan Sanchez Aguayo;1;4;27;25;2;60;46;9;1;000;000;000;000;000;000;000
ivan-villar;Ivan Villar;0;0;2;0;2;102;75;5;0;000;000;000;000;000;000;000
inaki-pena;Ignacio Pena Sotorres;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
williams;Inaki Williams;0;2;45;29;16;85;53;1;1;000;000;000;000;000;000;000
i-martinez;Inigo Martinez;0;4;30;12;18;338;297;11;0;000;000;000;000;000;000;000
jackson-porozo;Jackson Porozo;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
jacobo-ramon;Jacobo Ramon;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
jailson;Jailson Marques Siqueira;0;3;24;11;13;230;198;4;0;000;000;000;000;000;000;000
mata;Jaime Mata;0;1;18;12;6;38;25;3;0;000;000;000;000;000;000;000
oblak;Jan Oblak;0;0;0;0;0;56;45;5;0;000;000;000;000;000;000;000
jan-salas;Jan Salas;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
cillessen;Jasper Cillessen;0;0;0;0;0;123;78;14;0;000;000;000;000;000;000;000
javi-galan;Javi Galan;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
javier-guerra;Javi Guerra;0;4;14;13;1;70;59;4;0;000;000;000;000;000;000;000
javi-hdez;Javi Hernandez;0;5;34;26;8;119;90;6;1;000;000;000;000;000;000;000
javi-lopez-4;Javi Lopez;0;6;28;25;3;110;93;6;0;000;000;000;000;000;000;000
javi-martinez-2;Javi Martinez;0;0;0;0;0;9;9;0;0;000;000;000;000;000;000;000
javi-munoz;Javi Munoz;0;6;29;24;5;207;164;9;2;000;000;000;000;000;000;000
puado;Javi Puado;0;3;22;17;5;81;60;2;2;000;000;000;000;000;000;000
javi-sanchez-1;Javi Sanchez de Felipe;0;2;17;5;12;147;115;15;0;000;000;000;000;000;000;000
manquillo;Javier Manquillo;0;1;3;3;0;87;80;1;0;000;000;000;000;000;000;000
javier-marton;Javier Marton;0;0;2;0;2;4;3;0;0;000;000;000;000;000;000;000
javier-rodriguez-1;Javier Rodriguez;0;2;11;5;6;151;117;11;1;000;000;000;000;000;000;000
areso;Jesus Areso;0;4;27;22;5;123;101;3;0;000;000;000;000;000;000;000
j-navas;Jesus Navas;0;1;3;3;0;33;30;0;0;000;000;000;000;000;000;000
jesus-owono;Jesus Owono;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
vallejo;Jesus Vallejo;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
j-vazquez-1;Jesus Vazquez;0;11;45;39;6;109;82;1;0;000;000;000;000;000;000;000
jhon-solis;Jhon Solis;0;0;7;4;3;69;61;1;0;000;000;000;000;000;000;000
jiri-letacek;Jiri Letacek;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
j-garcia;Joan Garcia;0;0;3;1;2;129;65;24;0;000;000;000;000;000;000;000
joaquin-panichelli;Joaquin Panichelli;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
casals;Joel Roca;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
j-carreras;Jofre Carreras;0;2;19;19;0;39;29;2;1;000;000;000;000;000;000;000
j-mojica;Johan Mojica;0;3;27;25;2;127;90;10;0;000;000;000;000;000;000;000
j-patrick;John Patrick;0;0;3;2;1;5;4;0;0;000;000;000;000;000;000;000
joao-cardoso;Johnny Cardoso;0;2;8;7;1;36;31;2;0;000;000;000;000;000;000;000
jon-aramburu;Jon Aramburu;0;3;17;11;6;35;20;1;0;000;000;000;000;000;000;000
guridi;Jon Guridi;0;6;27;18;9;84;65;3;1;000;000;000;000;000;000;000
jon-magunacelaya;Jon Magunazelaia;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
jon-martin;Jon Martin;0;0;16;6;10;30;18;2;0;000;000;000;000;000;000;000
moncayola;Jon Moncayola;9;12;27;21;6;104;77;2;0;000;000;000;000;000;000;000
jon-ander-olasagasti;Jon Olasagasti;0;1;3;3;0;16;14;0;0;000;000;000;000;000;000;000
pacheco-3;Jon Pacheco;0;3;24;14;10;200;161;11;0;000;000;000;000;000;000;000
jonathan-bamba;Jonathan Bamba;0;2;17;15;2;68;55;2;2;000;000;000;000;000;000;000
herrando;Jorge Herrando;0;1;11;3;8;129;92;3;0;000;000;000;000;000;000;000
jorge-saenz;Jorge Saenz;0;2;15;4;11;131;107;7;0;000;000;000;000;000;000;000
de-frutos-1;Jorge de Frutos;0;6;37;34;3;59;40;1;0;100;000;100;000;100;000;000
aidoo-jr;Joseph Aidoo;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
jose-arnaiz;Jose Arnaiz;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
j-g-campana;Jose Angel Gomez Campana;4;1;12;10;2;123;105;8;0;000;000;000;000;000;000;000
j-m-gimenez;Jose Gimenez;0;1;12;7;5;186;154;20;0;000;000;000;000;000;000;000
gragera;Jose Gragera;0;10;37;31;6;96;83;0;0;000;000;000;000;000;000;000
jose-angel-carmona;Jose Angel Carmona;0;10;35;27;8;199;168;4;0;000;000;000;000;000;000;000
joao-urbaez;Joao Urbaez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
juan-bernat;Juan Bernat;0;1;2;2;0;3;2;0;0;000;000;000;000;000;000;000
j-berrocal;Juan Berrocal;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
juan-carlos-1;Juan Carlos Martin Corral;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
juan-cruz;Juan Cruz;7;1;18;16;2;62;41;1;2;050;025;025;050;000;000;000
juan-cruz-1;Juan Cruz Alvaro Armada;0;1;4;4;0;49;40;2;0;000;000;000;000;000;000;000
juan-herzog;Juan Herzog;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
iglesias;Juan Iglesias;0;11;41;31;10;76;34;8;0;000;000;000;000;000;000;000
juan-musso;Juan Musso;0;0;1;0;1;23;17;1;0;000;000;000;000;000;000;000
juan-soriano;Juan Soriano;0;1;3;3;0;114;28;21;0;000;000;000;000;000;000;000
juanlu-1;Juanlu Sanchez;0;3;11;10;1;60;49;1;0;050;000;050;000;050;000;000
juanmi;Juan Miguel Jimenez Lopez;0;4;23;19;4;30;21;1;0;000;000;000;000;000;000;000
juan-latasa;Juanmi Latasa;0;0;17;8;9;12;7;0;0;000;000;000;000;000;000;000
juanpe-rl;Juan Pedro Ramirez Lopez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
jude-bellingham;Jude Bellingham;0;6;15;12;3;72;60;2;1;000;000;000;000;000;000;000
julen-agirrezabala;Julen Agirrezabala;0;0;1;1;0;53;30;9;0;000;000;000;000;000;000;000
julen-lartitegi;Julen Lartitegi;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
kounde;Jules Kounde;0;9;32;24;8;233;194;10;2;050;000;050;000;050;000;000
julian-alvarez;Julian Alvarez;0;2;7;4;3;49;35;2;0;000;000;000;000;000;000;000
julian-chicco;Julian Chicco;0;6;15;13;2;24;20;0;0;000;000;000;000;000;000;000
karl-hein;Karl Hein;0;0;0;0;0;122;59;22;0;000;000;000;000;000;000;000
kelechi-iheanacho;Kelechi Iheanacho;0;0;2;1;1;10;8;0;0;000;000;000;000;000;000;000
kike-g;Kike Garcia;0;2;38;18;20;39;27;3;1;017;000;017;000;000;017;000
kike-1;Kike Perez;2;9;47;41;6;144;119;10;0;000;000;000;000;000;000;000
kike-salas;Kike Salas;0;1;8;2;6;83;65;2;0;000;000;000;000;000;000;000
kiko-femenia;Kiko Femenia;0;4;22;18;4;214;184;11;0;000;000;000;000;000;000;000
kirian;Kirian Rodriguez;0;6;31;27;4;280;229;13;1;000;000;000;000;000;000;000
koke-5;Jorge Iglesias Gonzalez;0;0;0;0;0;0;0;0;0;000;000;000;000;000;000;000
koke;Jorge Resurreccion Merodio;1;9;27;24;3;213;179;13;0;050;000;050;000;050;000;000
kylian-mbappe-lottin;Kylian Mbappe;1;0;33;32;1;104;82;6;0;013;000;013;006;006;000;000
