ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
javi-martinez-2;Javi Martínez;0;0;0;0;0;9;9;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
javi-munoz;Javi Muñoz;0;6;29;24;5;207;164;9;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
puado;Javi Puado;0;3;22;17;5;81;60;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
javi-sanchez-1;Javi Sánchez de Felipe;0;2;17;5;12;147;115;15;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
manquillo;Javier Manquillo;0;1;3;3;0;87;80;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
javier-marton;Javier Martón;0;0;2;0;2;4;3;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
javier-rodriguez-1;Javier Rodríguez;0;2;11;5;6;151;117;11;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
areso;Jesús Areso;0;4;27;22;5;123;101;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-navas;Jesús Navas;0;1;3;3;0;33;30;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jesus-owono;Jesús Owono;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
vallejo;Jesús Vallejo;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-vazquez-1;Jesús Vázquez;0;11;45;39;6;109;82;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jhon-solis;Jhon Solís;0;0;7;4;3;69;61;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jiri-letacek;Jirí Letácek;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-garcia;Joan García;0;0;3;1;2;129;65;24;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
joaquin-panichelli;Joaquín Panichelli;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
casals;Joel Roca;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-carreras;Jofre Carreras;0;2;19;19;0;39;29;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-mojica;Johan Mojica;0;3;27;25;2;127;90;10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-patrick;John Patrick;0;0;3;2;1;5;4;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
joao-cardoso;Johnny Cardoso;0;2;8;7;1;36;31;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jon-aramburu;Jon Aramburu;0;3;17;11;6;35;20;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
guridi;Jon Guridi;0;6;27;18;9;84;65;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jon-magunacelaya;Jon Magunazelaia;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jon-martin;Jon Martín;0;0;16;6;10;30;18;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
moncayola;Jon Moncayola;9;12;27;21;6;104;77;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jon-ander-olasagasti;Jon Olasagasti;0;1;3;3;0;16;14;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pacheco-3;Jon Pacheco;0;3;24;14;10;200;161;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jonathan-bamba;Jonathan Bamba;0;2;17;15;2;68;55;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
herrando;Jorge Herrando;0;1;11;3;8;129;92;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jorge-saenz;Jorge Sáenz;0;2;15;4;11;131;107;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
de-frutos-1;Jorge de Frutos;0;6;37;34;3;59;40;1;0;1.00;0.00;1.00;0.00;1.00;0.00;0.00
aidoo-jr;Joseph Aidoo;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jose-arnaiz;José Arnáiz;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-g-campana;José Ángel Gómez Campaña;4;1;12;10;2;123;105;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-m-gimenez;José Giménez;0;1;12;7;5;186;154;20;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
gragera;José Gragera;0;10;37;31;6;96;83;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jose-angel-carmona;José Ángel Carmona;0;10;35;27;8;199;168;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
joao-urbaez;João Urbáez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-bernat;Juan Bernat;0;1;2;2;0;3;2;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
j-berrocal;Juan Berrocal;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-carlos-1;Juan Carlos Martín Corral;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-cruz;Juan Cruz;7;1;18;16;2;62;41;1;2;0.50;0.25;0.25;0.50;0.00;0.00;0.00
juan-cruz-1;Juan Cruz Álvaro Armada;0;1;4;4;0;49;40;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-herzog;Juan Herzog;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
iglesias;Juan Iglesias;0;11;41;31;10;76;34;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-musso;Juan Musso;0;0;1;0;1;23;17;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-soriano;Juan Soriano;0;1;3;3;0;114;28;21;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juanlu-1;Juanlu Sánchez;0;3;11;10;1;60;49;1;0;0.50;0.00;0.50;0.00;0.50;0.00;0.00
juanmi;Juan Miguel Jiménez López;0;4;23;19;4;30;21;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juan-latasa;Juanmi Latasa;0;0;17;8;9;12;7;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
juanpe-rl;Juan Pedro Ramírez López;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
jude-bellingham;Jude Bellingham;0;6;15;12;3;72;60;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
julen-agirrezabala;Julen Agirrezabala;0;0;1;1;0;53;30;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
julen-lartitegi;Julen Lartitegi;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kounde;Jules Koundé;0;9;32;24;8;233;194;10;2;0.50;0.00;0.50;0.00;0.50;0.00;0.00
julian-alvarez;Julián Álvarez;0;2;7;4;3;49;35;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
julian-chicco;Julián Chicco;0;6;15;13;2;24;20;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
karl-hein;Karl Hein;0;0;0;0;0;122;59;22;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kelechi-iheanacho;Kelechi Iheanacho;0;0;2;1;1;10;8;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kike-g;Kike García;0;2;38;18;20;39;27;3;1;0.17;0.00;0.17;0.00;0.00;0.17;0.00
kike-1;Kike Pérez;2;9;47;41;6;144;119;10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kike-salas;Kike Salas;0;1;8;2;6;83;65;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kiko-femenia;Kiko Femenía;0;4;22;18;4;214;184;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
kirian;Kirian Rodríguez;0;6;31;27;4;280;229;13;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
koke-5;Jorge Iglesias González;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
koke;Jorge Resurrección Merodio;1;9;27;24;3;213;179;13;0;0.50;0.00;0.50;0.00;0.50;0.00;0.00
kylian-mbappe-lottin;Kylian Mbappé;1;0;33;32;1;104;82;6;0;0.13;0.00;0.13;0.06;0.06;0.00;0.00
ladislav-krejci-ii;Ladislav Krejcí;0;0;0;0;0;11;11;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
gonzalo-aguilar;Lalo Aguilar;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lamine-yamal;Lamine Yamal Nasraoui Ebana;0;8;61;60;1;177;140;3;3;0.17;0.17;0.00;0.17;0.00;0.00;0.00
cabrera;Leandro Cabrera;0;3;15;4;11;129;84;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
leo-1;Leo Román;0;0;0;0;0;22;10;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
logan-costa;Logan Evans Costa;0;0;6;0;6;68;57;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
loic-bade;Loïc Badé;0;5;24;15;9;206;172;9;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lucas-alcazar-moreno;Lucas Alcázar;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
l-ocampos;Lucas Ocampos;1;3;25;18;7;82;56;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lucas-rosa;Lucas Oliveira Rosa;0;13;30;28;2;126;101;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
torro;Lucas Torró;0;8;51;32;19;199;146;11;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lucas-v;Lucas Vázquez;0;2;14;14;0;46;40;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
lucien-agoume;Lucien Agoumé;0;6;29;20;9;167;139;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
l-milla;Luis Milla;11;8;48;29;19;108;67;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
l-perez;Luis Pérez;0;3;22;16;6;130;98;6;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
l-rioja;Luis Rioja;3;5;32;29;3;64;49;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
luiz-junior-1;Luiz Lúcio Reis Júnior;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
modric;Luka Modric;10;2;12;9;3;136;111;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
luka;Luka Romero;0;2;15;11;4;18;13;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
luka-sucic;Luka Sucic;0;1;2;1;1;9;6;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
m-sylla;Mamadou Sylla;0;0;9;3;6;23;15;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
manu-fuster;Manu Fuster;5;1;13;12;1;53;45;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
manu-gonzalez;Manu González;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
morlanes;Manu Morlanes;1;5;23;14;9;114;100;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
m-sanchez;Manu Sánchez;0;4;13;11;2;65;39;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marash-kumbulla;Marash Kumbulla;0;7;25;19;6;114;91;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
bartra;Marc Bartra;0;2;12;5;7;102;75;10;1;1.00;0.00;1.00;0.00;0.00;1.00;0.00
marc-bernal;Marc Bernal;0;8;28;21;7;160;139;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marc;Marc Cardona;0;0;2;2;0;6;4;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marc-casado;Marc Casadó;0;4;15;15;0;126;110;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marc-domenech;Marc Domenech;0;0;16;7;9;16;12;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marc-roca;Marc Roca;0;8;21;19;2;123;101;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marc-vidal;Marc Vidal;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ter-stegen;Marc-André ter Stegen;0;0;2;1;1;116;89;13;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marco-de-las-sias;Marco de Las Sias;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
marcos-andre;Marcos André de Sousa Mendonça;0;0;24;16;8;19;12;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
m-llorente;Marcos Llorente;0;10;27;23;4;140;115;4;0;1.00;0.50;0.50;0.00;1.00;0.00;0.00
marcao;Marcos do Nascimento Teixeira;0;3;14;10;4;105;91;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mario-martin;Mario Martín;0;1;12;10;2;18;15;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
dmitrovic;Marko Dmitrovic;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
valjent;Martin Valjent;0;1;13;6;7;168;126;19;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
martin-tejon;Martín Tejón;0;2;11;10;1;21;17;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
zubimendi;Martín Zubimendi;0;2;28;14;14;176;142;7;0;0.33;0.00;0.33;0.33;0.00;0.00;0.00
marvin-1;Marvin Olawale Akinlabi Park;0;8;31;28;3;83;59;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mateu-morey;Mateu Morey;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
matias-arbol;Matías Árbol;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
m-arambarri;Mauro Arambarri;1;0;8;3;5;30;16;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
miguel-3;Miguel Gutiérrez;0;9;35;31;4;159;139;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
miguel-2;Miguel de la Fuente;0;0;32;20;12;35;18;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
m-morro;Miguel Ángel Morro;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mika-marmol;Mika Mármol;0;7;24;18;6;216;180;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mikel-jauregizar;Mikel Jauregizar;5;5;16;12;4;70;59;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
oyarzabal;Mikel Oyarzabal;0;0;15;7;8;30;20;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
vesga;Mikel Vesga;0;4;16;15;1;83;56;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
moi-gomez;Moi Gómez;1;6;24;19;5;104;85;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
moussa-diarra-1;Moussa Diarra;0;2;11;9;2;41;31;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
munir;Munir El Haddadi;0;0;6;2;4;11;9;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nabil-aberdin;Nabil Aberdin;0;5;30;18;12;47;25;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
fekir;Nabil Fekir;8;3;26;24;2;72;60;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nacho-vidal;Nacho Vidal;0;2;9;6;3;31;24;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
naci-unuvar;Naci Ünüvar;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nahuel-molina;Nahuel Molina;0;2;6;4;2;55;43;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nahuel-tenaglia;Nahuel Tenaglia;0;7;29;20;9;60;37;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
natan;Natan Bernardo de Souza;0;1;6;1;5;27;23;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
gudelj;Nemanja Gudelj;0;1;9;2;7;100;92;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nicolas-serrano;Nico Serrano;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
williams-jr;Nicholas Williams Arthuer;1;4;35;31;4;56;41;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
nicolas-pepe;Nicolas Pépé;0;1;19;12;7;36;28;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
oier-gastesi;Oier Gastesi;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
o-sancet-1;Oihan Sancet;0;2;22;19;3;118;95;3;1;0.50;0.25;0.25;0.00;0.50;0.00;0.00
oliver-mcburnie;Oliver McBurnie;0;4;60;25;35;95;64;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
omar-alderete;Omar Alderete;0;2;26;8;18;124;53;22;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
omar-1;Omar El Hilali;0;6;27;18;9;140;109;10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mascarell;Omar Mascarell;0;5;19;14;5;74;63;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
omar-sadik;Omar Sadik;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
oriol-romeu;Oriol Romeu;0;6;24;20;4;151;135;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
orri-oskarsson;Orri Óskarsson;0;0;8;1;7;10;1;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pablo-barrios-rivas;Pablo Barrios;0;9;33;26;7;215;178;12;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pablo-duran;Pablo Durán;0;1;4;4;0;6;4;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
p-fornals;Pablo Fornals;4;2;13;12;1;97;78;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pablo-ibanez;Pablo Ibáñez;0;0;6;3;3;21;19;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
maffeo;Pablo Maffeo;0;10;31;27;4;84;60;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pablo-marin;Pablo Marín;0;0;4;3;1;7;2;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pablo-rivera;Pablo Rivera;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pablo-torre;Pablo Torre;0;0;0;0;0;3;3;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pape-alassane-gueye;Pape Gueye;0;3;20;17;3;91;64;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pathe-ciss;Pathé Ciss;0;3;20;15;5;65;46;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pau-cabanes-de-la-torre;Pau Cabanes De La Torre;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pau-cubarsi;Pau Cubarsí;0;3;26;12;14;285;255;10;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pau-lopez;Pau López;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pau-navarro;Pau Navarro;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pau-victor;Pau Víctor;0;1;6;6;0;9;6;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
paulo-gazzaniga;Paulo Gazzaniga;0;0;0;0;0;110;75;12;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pedri;Pedro González López;1;5;23;23;0;181;148;7;1;0.50;0.00;0.50;0.50;0.00;0.00;0.00
pedro-diaz;Pedro Díaz;0;1;2;1;1;2;2;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pelayo-fernandez;Pelayo Fernández;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
chavarria-1;Pep Chavarría;0;2;6;4;2;42;32;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pepelu;José Luis García Vayá;19;10;32;24;8;244;188;16;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
