ID;Jugador;MJ;PJ;%PJ;PC;%PC;PT;%PT;PS;%PS;TA;TR;SA;G;PR;GPP;GE
pablo-marin;Pablo Marín;281;10;40.00;1;10.00;2;8.00;1;4.00;0;0;0;0;0;0;4
pablo-rivera;Pablo Rivera;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
pablo-torre;Pablo Torre;260;8;32.00;0;0.00;4;16.00;4;16.00;0;0;0;3;0;0;4
pablo-valencia;Pablo Valencia;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
papa-dame-ba;Papa Dame Ba;47;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
pape-alassane-gueye;Pape Gueye;1613;23;92.00;11;47.83;19;76.00;8;32.00;3;1;1;2;0;0;21
pathe-ciss;Pathé Ciss;1152;21;84.00;4;19.05;13;52.00;9;36.00;7;0;0;2;0;0;16
pau-cabanes-de-la-torre;Pau Cabanes;227;12;48.00;0;0.00;0;0.00;0;0.00;0;0;0;1;1;0;2
pau-cubarsi;Pau Cubarsí;1999;25;100.00;16;64.00;22;88.00;6;24.00;3;0;0;0;0;0;21
pau-lopez;Pau López;45;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;2
pau-navarro;Pau Navarro;517;10;40.00;2;20.00;3;12.00;1;4.00;0;0;0;0;0;0;8
pau-victor;Pau Víctor;208;15;60.00;0;0.00;1;4.00;1;4.00;2;0;0;2;0;0;5
paulo-gazzaniga;Paulo Gazzaniga;2205;25;100.00;24;96.00;25;100.00;1;4.00;3;0;0;0;0;0;35
pedri;Pedro González López;1877;24;96.00;10;41.67;22;88.00;12;48.00;2;0;0;4;0;0;18
pedro-aleman;Pedro Alemañ;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
pedro-diaz;Pedro Díaz;423;13;52.00;0;0.00;4;16.00;4;16.00;1;0;0;0;0;0;3
pedro-ortiz;Pedro Ortiz;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
peio-canales;Peio Canales;58;4;16.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
pejino;Francisco Jesús Crespo García;15;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
pelayo-fernandez;Pelayo Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
chavarria-1;Pep Chavarría;1558;21;84.00;15;71.43;17;68.00;2;8.00;1;0;0;0;0;0;20
pepelu;José Luis García Vayá;1356;22;88.00;11;50.00;15;60.00;4;16.00;7;1;0;1;0;0;28
peque-1;Gerard Fernández Castellano;791;17;70.83;1;5.88;10;41.67;9;37.50;1;0;0;0;0;0;11
pere-joan;Pere García;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
pere-milla;Pere Milla;240;10;40.00;-1;-10.00;1;4.00;2;8.00;2;0;0;0;0;0;5
peter;Peter Federico González Carmona;327;12;48.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;2
pol-lozano;Pol Lozano;1340;19;76.00;5;26.32;17;68.00;12;48.00;9;0;0;0;0;0;18
pol-tristan;Pol Tristán;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
portu;Cristian Portugués Manzanera;265;14;56.00;0;0.00;1;4.00;1;4.00;4;0;0;0;0;0;6
rafa-mir;Rafa Mir;329;8;32.00;0;0.00;3;12.00;3;12.00;1;0;0;0;0;0;7
rafael-bauza;Rafael Bauza;182;5;20.00;0;0.00;2;8.00;2;8.00;1;0;0;0;0;0;9
rafa-romero;Rafael Romero;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
r-terrats;Ramon Terrats;302;13;52.00;1;7.69;3;12.00;2;8.00;2;0;0;0;0;0;5
ramon-martinez;Ramón Martínez;5;1;4.17;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
nteka;Randy Nteka;853;19;76.00;0;0.00;11;44.00;11;44.00;5;0;0;3;0;0;10
raphinha;Raphael Dias Belloli;2075;25;100.00;17;68.00;24;96.00;7;28.00;3;0;0;13;2;0;20
rayane-belaid;Rayane Belaid;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
r-albiol;Raúl Albiol;1189;15;60.00;12;80.00;14;56.00;2;8.00;4;0;0;0;0;1;20
raul;Raúl Asencio;858;13;52.00;7;53.85;8;32.00;1;4.00;0;0;0;0;0;0;7
raul-chasco;Raúl Chasco;129;2;8.00;1;50.00;1;4.00;0;0.00;0;0;0;0;0;0;4
raul-4;Raúl García;581;23;92.00;0;0.00;4;16.00;4;16.00;0;0;0;2;0;0;11
raul-jimenez-1;Raúl Jiménez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
raul-martinez-1;Raúl Martínez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
raul-moro;Raúl Moro;1354;20;80.00;7;35.00;14;56.00;7;28.00;1;0;0;3;0;0;30
r-d-t;Raúl de Tomás;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
reinildo;Reinildo Isnard Mandava;836;17;68.00;5;29.41;9;36.00;4;16.00;3;0;0;0;0;0;8
tapia-1;Renato Tapia;1378;22;88.00;8;36.36;16;64.00;8;32.00;5;0;0;1;0;0;29
ricard-artero;Ricard Artero;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
ricardo-rodriguez-1;Ricardo Rodríguez;692;11;44.00;4;36.36;8;32.00;4;16.00;0;0;0;0;0;0;9
robert-lewandowski;Robert Lewandowski;1926;24;96.00;11;45.83;23;92.00;12;48.00;1;0;0;20;0;0;18
navarro-2;Robert Navarro;1191;21;84.00;0;0.00;14;56.00;14;56.00;3;0;0;1;0;0;12
roberto-fernandez-2;Roberto Fernández;412;6;24.00;1;16.67;5;20.00;4;16.00;1;0;0;2;0;0;3
lopez-alcaide;Roberto López;387;12;48.00;2;16.67;3;12.00;1;4.00;0;0;0;0;0;0;8
le-normand;Robin Le Normand;1191;15;60.00;13;86.67;13;52.00;0;0.00;6;0;0;0;0;0;6
rodri-3;Rodrigo Sánchez Rodríguez;117;3;12.00;0;0.00;1;4.00;1;4.00;0;0;0;0;0;0;2
rodrigo-abajas;Rodrigo Abajas;66;1;4.00;0;0.00;1;4.00;1;4.00;1;0;0;0;0;0;2
de-paul;Rodrigo De Paul;1363;23;92.00;6;26.09;14;56.00;8;32.00;6;0;0;3;0;0;10
riquelme;Rodrigo Riquelme;411;11;44.00;1;9.09;4;16.00;3;12.00;0;0;0;0;0;0;2
rodrygo;Rodrygo Silva de Goes;1496;22;88.00;4;18.18;17;68.00;13;52.00;0;0;0;6;1;0;12
romain-perraud;Romain Perraud;1416;20;80.00;13;65.00;16;64.00;3;12.00;5;1;0;1;0;0;20
r-araujo;Ronald Araujo;157;3;12.00;1;33.33;3;12.00;2;8.00;1;0;0;0;0;0;2
ruben-garcia;Rubén García;1552;24;96.00;3;12.50;19;76.00;16;64.00;2;0;0;2;0;0;18
ruben-gomez-peris;Rubén Gómez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
ruben-iranzo;Rubén Iranzo;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
r-pena;Rubén Peña;625;18;72.00;1;5.56;6;24.00;5;20.00;1;0;0;0;0;0;10
ruben-vargas;Rubén Vargas;396;6;25.00;0;0.00;5;20.83;5;20.83;0;0;0;1;0;0;5
rui-silva;Rui Tiago Dantas da Silva;1350;15;60.00;15;100.00;15;60.00;0;0.00;1;0;0;0;0;0;18
sanchez-1;Salvi Sánchez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
samuel-lino;Samuel Dias Lino;1050;21;84.00;1;4.76;14;56.00;13;52.00;3;0;0;3;1;0;8
samu-3;Samuel de Almeida Costa;1684;20;83.33;16;80.00;20;83.33;4;16.67;4;1;1;0;0;0;26
sandro;Sandro Ramírez;1407;20;80.00;5;25.00;17;68.00;12;48.00;5;0;0;7;1;0;23
santi-c-v;Santi Comesaña;1670;23;92.00;11;47.83;20;80.00;9;36.00;6;0;0;3;0;0;30
santiago-mourino;Santiago Mouriño;857;14;56.00;7;50.00;9;36.00;2;8.00;2;0;0;0;0;0;15
saul-1;Saúl Ñíguez;888;12;50.00;6;50.00;10;41.67;4;16.67;5;1;0;1;0;0;13
scott-mckenna;Scott McKenna;1718;20;80.00;18;90.00;19;76.00;1;4.00;5;0;0;0;0;1;32
sebastian-john-wade-gardiner;Sebas Wade;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
selim-amallah;Selim Amallah;969;16;64.00;2;12.50;12;48.00;10;40.00;5;0;0;3;0;0;24
silvi-clua;Selvi Clua;163;4;16.00;0;0.00;2;8.00;2;8.00;0;0;0;0;0;0;3
sergi-altimira;Sergi Altimira;1393;21;84.00;6;28.57;15;60.00;9;36.00;2;0;0;0;0;0;24
sergi-canos;Sergi Canós;333;14;56.00;0;0.00;2;8.00;2;8.00;3;0;0;0;0;0;9
sergi-cardona;Sergi Cardona;2136;24;96.00;20;83.33;24;96.00;4;16.00;6;0;0;1;0;0;33
s-darder;Sergi Darder;1567;24;100.00;2;8.33;20;83.33;18;75.00;1;0;0;0;0;0;20
sergi-dominguez;Sergi Domínguez;173;3;12.00;0;0.00;2;8.00;2;8.00;1;0;0;0;0;0;4
sergi-guardiola;Sergi Guardiola;179;9;36.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
s-gomez;Sergi Gómez;651;11;44.00;5;45.45;6;24.00;1;4.00;1;0;0;0;0;0;13
sergio-arribas-1;Sergio Arribas;90;1;4.00;1;100.00;1;4.00;0;0.00;0;0;0;0;0;0;0
camello;Sergio Camello;1138;23;92.00;0;0.00;14;56.00;14;56.00;2;0;0;3;0;0;15
s-carreira;Sergio Carreira;777;12;48.00;6;50.00;9;36.00;3;12.00;0;0;0;0;0;0;9
sergio-g;Sergio González;2068;24;96.00;22;91.67;23;92.00;1;4.00;1;1;0;2;0;1;35
sergio-gomez;Sergio Gómez;1833;24;96.00;14;58.33;21;84.00;7;28.00;2;0;0;0;0;0;17
s-herrera;Sergio Herrera;2250;25;100.00;25;100.00;25;100.00;0;0.00;4;0;0;0;0;0;34
sergio-mestre;Sergio Mestre;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sergio-ruiz-1;Sergio Ruiz;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sergio-vieira;Sergio Viera;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
seydouba-cisse;Seydouba Cissé;1580;22;88.00;6;27.27;20;80.00;14;56.00;3;0;0;2;1;0;24
sheraldo-becker;Sheraldo Becker;911;19;76.00;3;15.79;10;40.00;7;28.00;1;1;0;2;0;0;10
siebe-van-der-heyden;Siebe Van der Heyden;96;2;8.33;1;50.00;1;4.17;0;0.00;0;0;0;0;0;0;2
stanis-idumbo-muzambo;Stanis Idumbo Muzambo;230;8;33.33;0;0.00;3;12.50;3;12.50;0;0;0;1;0;0;6
stanko-juric;Stanko Juric;1355;21;84.00;7;33.33;14;56.00;7;28.00;5;1;1;0;0;0;34
stefan-bajcetic;Stefan Bajcetic;275;4;16.00;0;0.00;3;12.00;3;12.00;0;0;0;1;0;0;7
stipe-biuk;Stipe Biuk;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
stoichkov;Juan Diego Molina Martínez;695;16;64.00;1;6.25;6;24.00;5;20.00;1;0;0;0;0;0;13
dimitrievski;Stole Dimitrievski;360;4;16.00;4;100.00;4;16.00;0;0.00;1;0;0;0;0;0;6
suso;Jesús Joaquín Fernández Sáenz de la Torre;173;8;33.33;-1;-12.50;0;0.00;1;4.17;1;0;0;0;0;0;2
sebastien-haller;Sébastien Haller;405;8;32.00;1;12.50;5;20.00;4;16.00;0;0;0;0;0;0;9
tadeo-allende;Tadeo Allende;1;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
tajon-buchanan;Tajon Buchanan;49;3;12.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;2
take;Takefusa Kubo;1553;24;96.00;6;25.00;17;68.00;11;44.00;5;0;0;5;0;0;12
takuma-asano;Takuma Asano;556;13;54.17;0;0.00;6;25.00;6;25.00;0;0;0;0;0;0;7
tamas-nikitscher;Tamás Nikitscher;221;4;16.00;2;50.00;2;8.00;0;0.00;1;0;0;0;0;0;9
nianzou-kouassi;Tanguy Nianzou;519;6;25.00;5;83.33;6;25.00;1;4.17;1;1;1;0;0;1;5
tasos-douvikas;Tasos Douvikas;692;20;80.00;0;0.00;6;24.00;6;24.00;2;0;0;3;0;0;13
thiago-ojeda;Thiago Ojeda;7;1;4.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
courtois;Thibaut Courtois;1980;22;88.00;22;100.00;22;88.00;0;0.00;0;0;0;0;0;1;19
thierno-barry-1;Thierno Barry;1554;24;96.00;10;41.67;17;68.00;7;28.00;3;0;0;8;1;0;23
thierry-r;Thierry Rendall Correia;771;11;44.00;4;36.36;9;36.00;5;20.00;1;0;0;0;0;0;13
lemar;Thomas Lemar;6;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
tomas-conechny;Tomás Conechny;704;14;56.00;1;7.14;9;36.00;8;32.00;4;0;0;1;0;0;15
toni-fernandez;Toni Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
lato;Antonio Latorre Grueso;267;6;25.00;2;33.33;3;12.50;1;4.17;0;1;0;0;0;0;2
t-martinez;Toni Martínez;752;20;80.00;2;10.00;7;28.00;5;20.00;0;0;0;3;0;0;15
toni-villa;Laureano Antonio Villa Suárez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
sadiq;Umar Sadiq;409;12;48.00;0;0.00;3;12.00;3;12.00;3;0;0;1;0;0;5
unai-egiluz;Unai Egiluz;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
unai-garcia;Unai García;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
unai-gomez;Unai Gómez;667;20;80.00;0;0.00;6;24.00;6;24.00;1;0;0;1;0;0;9
unai-lopez;Unai López;1128;20;80.00;3;15.00;16;64.00;13;52.00;7;1;0;3;0;0;11
marrero;Unai Marrero;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
nunez-2;Unai Núñez;270;3;12.00;3;100.00;3;12.00;0;0.00;1;0;0;0;0;0;2
unai-simon;Unai Simón;720;8;32.00;8;100.00;8;32.00;0;0.00;0;0;0;0;0;0;7
gonzalez-de-zarate;Urko González;291;5;20.00;1;20.00;4;16.00;3;12.00;2;0;0;0;0;0;0
valentin-rosier;Valentin Rosier;1719;22;88.00;18;81.82;18;72.00;0;0.00;6;0;0;0;0;0;29
valentin-barco;Valentín Barco;285;7;29.17;1;14.29;3;12.50;2;8.33;0;0;0;0;0;0;4
valentin-pezzolesi;Valentín Pezzolesi;5;1;4.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
valery;Valery Fernández;224;12;50.00;0;0.00;1;4.17;1;4.17;1;0;0;2;0;0;4
vedat-muriqi;Vedat Muriqi;1372;19;79.17;9;47.37;15;62.50;6;25.00;1;2;0;6;1;0;21
vicent-abril;Vicent Abril;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
guaita;Vicente Guaita;1890;21;84.00;21;100.00;21;84.00;0;0.00;0;0;0;0;0;0;29
viktor-tsygankov;Viktor Tsyhankov;914;14;56.00;4;28.57;11;44.00;7;28.00;1;0;0;1;0;0;17
vini-jr;Vinícius José Paixão de Oliveira Júnior;1539;19;76.00;9;47.37;17;68.00;8;32.00;5;1;0;9;2;0;14
viti;Viti Rozada;1101;18;72.00;5;27.78;12;48.00;7;28.00;4;0;0;0;0;0;22
vitor-roque;Vitor Hugo Roque Ferreira;1237;22;88.00;3;13.64;14;56.00;11;44.00;4;0;0;4;2;0;23
vladyslav-krapyvtsov;Vladyslav Krapyvtsov;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
v-meseguer;Víctor Meseguer;410;14;56.00;1;7.14;2;8.00;1;4.00;1;0;0;0;0;0;8
victor-munoz;Víctor Muñoz Villanueva;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
victor-puig;Víctor Puig;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
walid-cheddira;Walid Cheddira;587;17;68.00;0;0.00;5;20.00;5;20.00;2;0;0;1;1;0;7
warren-madrigal;Warren Madrigal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
william-2;William Silva de Carvalho;250;4;16.00;1;25.00;4;16.00;3;12.00;0;0;0;0;0;0;1
williot-swedberg;Williot Swedberg;1036;23;92.00;0;0.00;11;44.00;11;44.00;1;0;0;3;0;0;15
willy-kambwala;Willy Kambwala;583;8;32.00;6;75.00;7;28.00;1;4.00;0;1;0;0;0;0;5
wojciech-szczesny;Wojciech Szczesny;450;5;20.00;5;100.00;5;20.00;0;0.00;0;0;0;0;0;0;2
xavier-pleguezuelo;Xavier Pleguezuelo;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
herrera-1;Yangel Herrera;1242;17;68.00;10;58.82;15;60.00;5;20.00;7;1;0;3;1;0;17
yarek-gasiorowski;Yarek Gasiorowski;940;14;56.00;5;35.71;9;36.00;4;16.00;1;0;0;0;0;0;22
jesus-santiago;Jesús Santiago Pérez;312;15;60.00;-1;-6.67;4;16.00;5;20.00;4;0;0;0;0;0;2
yeray-2;Yeray Álvarez;1151;14;56.00;12;85.71;13;52.00;1;4.00;3;0;0;0;0;0;9
yeremy;Yeremy Pino;1242;22;88.00;0;0.00;16;64.00;16;64.00;7;0;0;1;1;0;21
yoel-lago;Yoel Lago;135;2;8.00;1;50.00;2;8.00;1;4.00;0;0;0;0;0;0;3
youssef-lekhedim;Youssef Lekhedim;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
youssouf-sabaly;Youssouf Sabaly;1101;15;60.00;8;53.33;13;52.00;5;20.00;1;0;0;0;0;0;18
yuri-b;Yuri Berchiche;1375;21;84.00;13;61.90;14;56.00;1;4.00;3;0;0;0;0;0;14
yvan-neyou;Yvan Neyou;1656;20;80.00;13;65.00;19;76.00;6;24.00;10;0;0;1;0;0;26
yaser-asprilla;Yáser Asprilla;864;16;64.00;3;18.75;9;36.00;6;24.00;2;0;0;2;0;0;14
alex-b;Álex Baena;1914;23;92.00;11;47.83;22;88.00;11;44.00;8;0;0;6;0;0;28
alejandro-gil;Álex Gil;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-munoz;Álex Muñoz;1078;15;60.00;7;46.67;13;52.00;6;24.00;1;0;0;3;0;0;23
a-remiro;Álex Remiro;2250;25;100.00;25;100.00;25;100.00;0;0.00;0;0;0;0;0;0;23
a-sola;Álex Sola;1035;19;76.00;0;0.00;13;52.00;13;52.00;4;0;0;0;0;0;10
alex-suarez;Álex Suárez;1826;22;88.00;15;68.18;22;88.00;7;28.00;10;0;0;0;0;1;36
alex-valle;Álex Valle;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-aceves;Álvaro Aceves;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aguado-1;Álvaro Aguado;404;11;44.00;0;0.00;4;16.00;4;16.00;2;0;0;0;0;0;7
alvaro-cortes-1;Álvaro Cortés;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-djalo;Álvaro Djaló;453;13;52.00;0;0.00;4;16.00;4;16.00;0;0;0;1;0;0;5
alvaro-fernandez;Álvaro Fernández;656;8;33.33;7;87.50;7;29.17;0;0.00;2;0;0;0;0;0;12
alvaro-1;Álvaro García;1496;23;92.00;6;26.09;16;64.00;10;40.00;4;0;0;3;0;0;16
alvaro-killane;Álvaro Killane;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
odriozola;Álvaro Odriozola;41;2;8.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
alvaro-rodriguez-3;Álvaro Rodríguez;542;15;60.00;0;0.00;4;16.00;4;16.00;3;0;0;2;0;0;5
a-tejero;Álvaro Tejero;1132;22;88.00;4;18.18;13;52.00;9;36.00;2;0;0;1;0;0;21
correa;Ángel Correa;608;23;92.00;0;0.00;3;12.00;3;12.00;3;0;0;3;0;0;3
angel-f;Ángel Fortuño;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
angel-ortiz;Ángel Ortiz;345;4;16.00;3;75.00;4;16.00;1;4.00;0;0;0;0;0;0;5
aron-yaakobishvili;Áron Yaakobishvili;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
e-militao;Éder Gabriel Militão;940;12;48.00;9;75.00;11;44.00;2;8.00;2;0;0;1;0;0;9
i-lekue;Íñigo Lekue;466;9;36.00;3;33.33;5;20.00;2;8.00;1;0;0;0;0;0;7
r-de-galarreta;Íñigo Ruíz de Galarreta;986;17;68.00;0;0.00;12;48.00;12;48.00;4;0;0;0;0;0;9
de-marcos;Óscar De Marcos;1217;20;80.00;9;45.00;13;52.00;4;16.00;0;0;0;0;0;0;9
mingueza;Óscar Mingueza;1721;22;88.00;13;59.09;20;80.00;7;28.00;3;1;0;2;1;0;31
oscar-4;Óscar Rodríguez;867;18;72.00;4;22.22;9;36.00;5;20.00;4;1;0;1;1;0;9
oscar-trejo;Óscar Trejo;266;11;44.00;0;0.00;3;12.00;3;12.00;1;0;0;0;0;0;3
oscar-5;Óscar Valentín;1402;24;96.00;9;37.50;14;56.00;5;20.00;2;0;0;0;0;0;16
orjan-nyland;Ørjan Nyland;1504;17;70.83;16;94.12;17;70.83;1;4.17;1;0;0;0;0;0;22
