ID;Jugador;MJ;PJ;%PJ;PC;%PC;PT;%PT;PS;%PS;TA;TR;SA;G;PR;GPP;GE
abdessamad-ezzalzouli;Abde Ezzalzouli;141;3;100.00;0;0.00;1;33.33;1;33.33;0;0;0;0;0;0;3
abderrahman-rebbach;Abde Rebbach;70;1;25.00;0;0.00;1;25.00;1;25.00;1;0;0;0;0;0;1
abqar;Abdel Abqar;360;4;100.00;4;100.00;4;100.00;0;0.00;2;0;0;0;1;0;3
abdul-mumin;Abdul Mumin;360;4;100.00;4;100.00;4;100.00;0;0.00;2;0;0;0;0;0;5
abdon;Abdón Prats;13;2;50.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
abel-bretones;Abel Bretones;240;3;75.00;2;66.67;3;75.00;1;25.00;0;0;0;1;0;0;3
abel-ruiz;Abel Ruiz;304;4;100.00;1;25.00;4;100.00;3;75.00;1;0;0;2;0;0;3
aboubacar-bassinga;Aboubacar Bassinga;3;1;25.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adama-boiro;Adama Boiro;79;1;25.00;0;0.00;1;25.00;1;25.00;0;0;0;0;0;0;0
embarba;Adri Embarba;284;4;100.00;1;25.00;3;75.00;2;50.00;1;0;0;0;0;0;4
adria-altimira;Adrià Alti;60;2;50.00;0;0.00;1;25.00;1;25.00;0;0;0;0;0;0;2
pedrosa-1;Adrià Pedrosa;270;3;75.00;3;100.00;3;75.00;0;0.00;1;0;0;0;0;0;4
adrian-2;Adrián San Miguel del Castillo;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
adrian-pica;Adrián Hernández Hernández;90;1;25.00;1;100.00;1;25.00;0;0.00;0;0;0;0;0;0;1
a-rodriguez-1;Adrián Rodríguez;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;18;1;25.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
aihen;Aihen Muñoz;24;1;25.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
aimar-1;Aimar Oroz;315;4;100.00;0;0.00;4;100.00;4;100.00;0;0;0;0;0;0;5
aitor-fdez;Aitor Fernández;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;81;1;25.00;0;0.00;1;25.00;1;25.00;0;0;0;0;0;0;1
aitor-r;Aitor Ruibal;190;3;100.00;0;0.00;3;100.00;3;100.00;1;0;0;0;0;0;0
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;153;2;50.00;1;50.00;2;50.00;1;25.00;1;0;0;0;0;0;2
alberto-collado;Alberto Collado;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-flores;Alberto Flores;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alberto-mari;Alberto Marí;6;1;25.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
a-moleiro;Alberto Moleiro;259;4;100.00;0;0.00;3;75.00;3;75.00;0;0;0;1;0;0;3
alberto-risco;Alberto Risco;16;1;33.33;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alex-balde;Alejandro Balde;268;4;100.00;1;25.00;3;75.00;2;50.00;0;0;0;0;0;0;2
catena;Alejandro Catena;360;4;100.00;4;100.00;4;100.00;0;0.00;0;0;0;0;0;0;7
a-frances;Alejandro Francés;179;2;50.00;1;50.00;2;50.00;1;25.00;1;0;0;0;0;0;0
alejandro-iturbe;Alejandro Iturbe;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alejo-veliz;Alejo Véliz;314;4;100.00;2;50.00;4;100.00;2;50.00;2;0;0;1;0;0;3
sedlar;Aleksandar Sedlar;176;2;50.00;2;100.00;2;50.00;0;0.00;1;1;0;0;0;0;0
berenguer;Alex Berenguer;163;3;75.00;0;0.00;2;50.00;2;50.00;1;0;0;0;1;0;3
alex-kral;Alex Král;303;4;100.00;3;75.00;3;75.00;0;0.00;0;0;0;0;0;0;2
alexander-sorloth;Alexander Sørloth;147;4;100.00;0;0.00;2;50.00;2;50.00;0;0;0;1;0;0;2
alfonso-1;Alfon González;111;2;50.00;0;0.00;1;25.00;1;25.00;0;1;0;0;0;0;4
a-espino;Alfonso Espino;305;4;100.00;3;75.00;4;100.00;1;25.00;1;0;0;0;0;0;4
ali-fadal;Ali Fadal;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
alvaro-abajas;Alvin Abajas;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
amath;Amath Ndiaye;137;3;75.00;0;0.00;2;50.00;2;50.00;0;0;0;0;0;0;2
ander-astralaga;Ander Astralaga;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
barrenetxea;Ander Barrenetxea;84;2;50.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;1
guevara;Ander Guevara;267;4;100.00;1;25.00;3;75.00;2;50.00;0;0;0;0;0;0;2
ander;Ander Herrera;109;3;75.00;0;0.00;1;25.00;1;25.00;2;0;0;0;0;0;1
gorosabel;Andoni Gorosabel;81;1;25.00;0;0.00;1;25.00;1;25.00;1;0;0;0;0;0;1
andreas-christensen;Andreas Christensen;26;1;25.00;0;0.00;0;0.00;0;0.00;1;0;0;0;0;0;0
andrei;Andrei Ratiu;170;2;50.00;1;50.00;2;50.00;1;25.00;0;0;0;0;0;0;2
lunin;Andrii Lunin;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0;0;0
